stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,24.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62,5.52,0,4.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29,31.9,0,6.24,0,0,0,0,0,0
 14-21,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,50.66,1.85,0.81,0,0
 24-34,0,0,1.67,0,0,0,0,0,0,0,0,0,0.59,0,2.67,9.4,0,0,0,0,8.76,0,0.71,1.25,0
 36-46,0,0,0,0,6.5,0,0,0,5.08,0,0,0,2.17,0,0,29.81,0,0,0,0,2.58,0,3.02,0.78,0
 48-58,0,0,0,0,3.37,0,0,0,4.88,0,0,0,2.22,0,0.51,23.48,0,0,0,0,2.86,0,2.03,0.45,0
 60-70,0,0,0,0,21.03,0.83,0,4.25,0,0,0,0.66,9.99,0,0,27.68,0,0,0,0,0.62,0,10.28,0,0
 72-82,0,0,0,0,19.94,0,0,0,0.9,0,0,0,5.17,0,0,12.2,0,0.9,0,0.76,0,0,1.89,0,0
 84-94,0,0,0,0,5.19,0,0,1.13,1.65,0,0,0,0,0.93,0,4.66,0,0,0,0,0,0,3.69,0,0
 96-106,0,0,0,6.06,3.51,0,0.62,0,0,0,0,0,7.13,0,0,7.71,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.75,6.18,0,0,0,1.07,0.43,0,0,2.55,0,0.95,6.95,0,2.23,0,0,0,0,0,0.46,0
120,0,0,0,0,7.07,0,0,0,6.87,0,5.74,0,0,0,0,33.09,0,0,0,0,0,0,0,0,7.26
