stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.45,30.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.25,7.11,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6.61,0,2.23,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,12.18,0,4.57,0
 36-46,0,0,0,0.82,3.16,0.92,0,0,0,0,0,23.1,0,1.05,1.74
 48-58,0,0,0.37,0,0,0,0,0,0,0.48,0,4.98,0,0.38,4.53
 60-70,0,0,0,1.38,0,1.29,1.41,0,1.32,0,0,7.07,0,2.26,0
 72-82,0,0,0,0.76,0,0,0,0,0,0,0,1.04,0,0,0
 84-94,0,0,0,0,0,0.84,0,0,0,0,1.13,9.09,0,0,0
108-118,0,0,0,0,0,6.23,0,0.64,0,0.89,0,1.56,0,0,0
120,0,0,0,0,7.12,0,0,0,0,12.66,0,6.3,0,0,0
