stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.98,20.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,13.62,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,5.72,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.97,0,4.69,0,0,0,6.33,0,0,0,0,0,0,0,0,2.03,0,0,1.94,118,0.97,0,0,1,0,0,0,2.02,0,57.84,0,0,0,0,0
 24-34,0,0,0,0,3.47,0,107.89,0,0,0,16.39,0,0.82,0,0,0,0,0,0,6.55,0,0,0,171.08,1.31,1.53,1.73,0,0,9.13,0,0,0,125.28,0,0,0.93,0,0
 36-46,0,0,0,0,2.16,0,667.53,1.82,0,0,54.75,0,0,0.65,0,0,0.61,0,0,15.25,0,0,0,211.77,0,1.47,1.46,0,0,0.75,0.81,0,0,160.66,0,0,0.68,0,4.7
 48-58,0,0,0,0,5.74,2.7,1505.49,1.19,3.72,0.99,122.15,0,0,0,0,0.41,3.85,0.39,0,11.06,2.73,11.07,0.38,354.15,0,0.39,2.78,0,0,2.34,0,0,0,187.55,0,0,0,0,0.47
 60-70,0,0,0,0,1.65,0,2266.11,0,0,0,679.58,0,0,1,0,3.02,1.42,0,0,28.37,0,11.04,7.33,316.5,4.86,1.95,0.65,0,0,2.6,0,0,0.67,102.4,2.13,0,0,0,7.75
 72-82,0,0,0,0.75,6.34,1.36,1340.62,2.65,0,4.7,1117.49,0,0.81,0.71,1.73,2.52,4.8,0,0,55.19,0,4.73,5.33,326.29,0,1.87,4.31,0,1.77,1.11,0,0,0.73,57.36,0,1.87,4.02,0,6.63
 84-94,0,0,0.73,0,18.92,0,941.51,0,1.81,2.55,903.33,0,0,0,0.6,0.79,3.91,0,2.16,51.72,0,0.63,1,208.36,0,0,6.77,0,0,2.18,0,0,0,81.45,0.86,0,7.4,0.56,7.44
 96-106,0,0,0,0,7.33,0,839.98,0,0.59,0.82,1445.6,0,0.91,1.14,0.73,0.72,13.32,0,0,76.19,0,0.63,1.29,210.72,0,1.78,6.49,0,0,2.26,0,0,0,16.8,0,0,0,0,5.84
108-118,0,0,0,0,7,0,682.73,0,1.9,2.02,1262.71,3.77,0,0.62,0.59,2.29,17.01,2.99,0,109.23,0,1.23,3.75,200.23,0,1.4,8.96,0,0,1.81,0,0,0.42,14.3,0,0.99,0.59,2.27,1.76
120,0,0,0,0,0,0,679.85,0,0,2.81,991.01,1.38,0,0,0,0,14.86,15.26,0,150.68,0,4.16,2.54,242.58,6.78,0,11.74,0,3.42,1.77,0,0,3.15,33.68,0,0,5.62,0,0
