stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,86.66,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.65,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.72,0,3.47,0,0,0,0,2.55,2.17,0,72.81,0,0,0,0,0
 24-34,0,0.75,0,9,0,0,12.77,0,0.64,0,0,0,0,1.77,0,0,0,18.76,0.73,0,0,1.24,0,0.76,991.01,0,39.4,1.55,0,0,1.65,0,3.45,1.31,312.71,0,0,7.09,0,0
 36-46,0,0,0,3.13,0.7,0,37.19,0,1.39,0,33.9,0,0,0,0,0,2.15,39.26,0,12.92,5.4,0,0,1.55,3166.83,0.58,73.99,1.71,0,0,1.61,0,1.23,0.7,808.29,0,0,0,0,2.46
 48-58,0,0,0,26.49,0,0,296.15,1.26,1.13,2.55,450.17,0,0,0,1.95,4.95,0.54,56.36,0,0.59,30.49,4.36,0.92,4.88,8038.78,0,48.29,2.98,0,0,5.33,0,9.03,0,1512.46,0,0,12.97,0,5.24
 60-70,0,1.82,0,16.37,0.59,0,703.64,0.69,9.97,1.48,1118.86,2.13,0,5.85,10,0,15.85,56.45,0,0,104.96,1.53,1.81,0.6,10055.46,0,61.52,18.62,0,0,12.16,0,11.11,0,1772.55,2.51,0.8,0,0,11.04
 72-82,0,3.34,0,45.89,19.66,3.14,1464.11,3.34,2.51,5.94,1301.1,2.34,0,0.84,5.37,6.1,0,214.43,8.18,0.57,268.66,11.8,6.19,2.01,11306.99,0,69.66,10.11,0,1.31,2.19,0,8.8,0,1083.15,19.56,0,6.33,1.34,23.15
 84-94,0,0,0,79.28,7.17,0,1388.48,0.93,3.52,6.28,958.7,5.82,0,0,3.13,1.69,5.54,225,0,0,197.47,4.49,1.06,7.77,7498.71,0,70.92,18.31,0,0,21.43,0,24.8,0,782.16,26.78,6.35,3.37,0,7.53
 96-106,0,0.81,0,49.73,28.79,0,1605.97,0,1,1.65,931.24,11.58,0,1.98,2.8,1.57,1.48,384.76,4.24,0,233.54,0,2.25,5.96,6761.38,0,107.21,26.78,0,0,14.01,0,19.63,0,430.95,32.57,7.01,10.35,0,4.62
108-118,0,2.02,0.74,46.03,4.2,0,1059.27,2.51,18.39,3.85,1058.29,0.95,0,0,1.48,3.03,3.66,260.51,3.95,4.49,249.49,0,7,1.07,6953.69,1.03,75.91,27.54,0,3.84,11.5,0,18.23,0,273.14,28.83,0,2.84,2.12,6.08
120,0,14.61,1.28,101.78,0,0,1009.03,1.18,13.35,0,1560.22,8.79,0,0,9.21,0,0,104.34,17.76,0,270.97,1.49,0,14.39,10625.43,0,57.82,45.47,0,3.68,19.21,0,6.64,0,520.62,25.29,0,30.38,0,0
