stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,2.1,0,0,0,0,0,1.22,0,0,9.55,0,0,2.11,4.6,0,0
 24-34,0.62,0.72,0,6.28,0,1.63,0,2.39,0,0.98,33.62,0,0,0,4.11,0,0
 36-46,0,0,0,8.1,0,2.7,0,4.68,0,0,27.66,0,0,0,5.41,0,0
 48-58,0,0.66,0,17.7,0,3.05,0,3.42,0,0,50.09,0,0,0,8.6,0,0
 60-70,0,0,0,20.51,1.77,5.52,0,8.17,1.84,0,34.34,0,0,0,7.65,0,0
 72-82,0,0,0,17.53,0,6.6,0,2.41,0,0,38.06,1.1,0,0,0,2.41,0.67
 84-94,0,1.52,0.87,7.37,0,0,0,5.03,0,0.6,20.99,0,0,0,4.37,0,0
 96-106,0,0,0,1.33,4.12,0.91,0.64,11.65,0,0,21.4,0,0,0,0,0,0
108-118,0,0,0,4.38,0,7.54,0,0.97,0,0.6,11.95,0,0.47,0,3.21,0,0
120,0,1.88,6.95,10.12,0,25.25,0,3.48,0,0,6.37,0,0,0,0,0,0
