stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.99,0,0,0,7.93,0,0,0,0,5.15,0,0,0,0,0,0,0,0
 14-21,0,1.14,0,150.36,2.23,0,16.5,0,0,0,3.39,0,0,0,0,0,0,0,0,0,221.63,5.13,0,132.47,3368.76,14.33,6.58,0,0,0,0,0,7.14,0,0,14.99,713.87,0,0,1.01,0,0
 24-34,0,0,7.3,281.26,16.18,0,34.43,0,60.41,285.61,24.63,0,2.95,14.27,0,0.61,2.23,4.44,4.01,0,1237.26,4.04,0,1093.06,8588.87,36.14,15.51,0,0,2.91,24.92,0,10.67,3.15,2.41,113.77,2151.48,0,0,5.8,0,3.49
 36-46,0,0,0,63.36,9.17,0,138.51,2.38,173.89,771.4,83.79,0,0,0.56,7.66,0.68,0,2.03,0,3.76,1380.47,0,1.42,1511.93,13568.89,2.99,49.55,10.43,10.27,0,18.83,0,7.33,0,1.22,2.5,4108.5,0,14.39,21.33,1.55,4.7
 48-58,0.78,0,0,38.51,9.54,0,319.58,1.02,145.2,591.1,561.12,1.15,0,8.71,2.48,0,5.13,0.57,0,9.94,1921.07,1.3,2.35,924.43,7002.74,10.22,10.1,5.5,0,5.19,7.98,0,0,1.94,1.64,0,4475.11,0,13.65,1.92,11.75,21.12
 60-70,0,0,0,36.64,9.56,0,196.91,7.72,70.04,238.18,1388.04,0.77,0,0.87,2.94,0,0,0,10.74,0,1823.33,0,16.96,535.27,1778.63,0,6.24,17.74,0,2.33,1.33,0,0,0,1.86,0,2518.48,0,10.72,0,7.08,9.17
 72-82,0,0.83,0,47.86,0.51,0,273.03,14.83,16.27,275.06,1824.96,1.65,0,4.99,7.19,0,0,0,1.61,0,2703.75,0,14.98,604.08,758.12,0,4.8,12.8,0,7.59,4.12,3.31,0,0,0,0,1294.66,0,17.52,3.4,49.45,7.64
 84-94,0,0,0,119.74,7.32,0,293.51,2.05,24.96,286.68,1384.38,0,0,13.52,1.41,2.01,0.74,0,3.63,0,2177.04,1.94,6.15,410.88,541.55,0,0,30.83,0,6.57,7.9,0,0,0.67,0,0,786.34,0.9,1.95,0,38.43,2.17
 96-106,0,0,1.07,87.63,2.37,6.47,250.32,7.45,27.26,157.49,1450.97,3.75,0,1,2.54,0,0,4.65,11.36,0,2124.38,2.09,24.88,331.84,543.92,0,13.03,51.64,0,3.07,7.09,0,0,0,0,0,182.43,7.02,21.55,3.38,57.04,0
108-118,0,0,0,62.19,5.49,3.04,69.97,2.6,7.24,143.72,1449.2,0.86,0,0.61,5.73,1.18,0,0,5.28,0,2422.37,2.95,15.28,322.03,637.06,0,2.66,44.94,0,0,0,0,0,0,0,0,233.53,0,10.4,0,33.73,2.22
120,0,0,0,22.27,9.3,0,204.02,10.36,3.89,108.77,1677.56,7.99,0,0,0,0,0,8.45,12.9,0,1757.93,0,6.4,205.74,676.72,0,0,20.78,0,7.52,2.48,0,0,24.27,0,0,451.87,0,2.41,15.04,34.35,0
