stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.01,0,0,1.01,0,0,0,0,3.13,0,0,0,1.87,0,1.02,17.71,0,0,0,0,5.34,2,5.12,0,0,0
 24-34,0,0.67,0.89,0,0,5.97,0,0,3.26,0.92,0,0,0,0,9.22,0,0.84,69.76,0,0,0,0,0,0.99,12.57,0,0,0
 36-46,0,0,0.82,0,0,7.44,0,0,3.15,0,0,0,0,0,13.23,0,4.68,51.04,0,0,0,0,0,0,12.91,1.37,1.67,0
 48-58,0,0,0,0,0,31.99,3.3,0,6.27,0.51,0,0,0,0,5.31,0.69,0.43,75.19,0,1.98,0.74,0,0,0,27.02,0,3.32,0
 60-70,0,0,0,0,0,25.78,0,0,5.13,0,0,0,1.28,0,7.02,0,0.84,33.99,0,0,0,0,0,0,4.37,0,0,0
 72-82,0,0,0,0,0,31.96,0,0,4.67,0,0,1.21,0,0,4.88,0,1.05,65.46,0,2.91,0,0,0,0,1.94,0,3.67,2.27
 84-94,0,0,0,0,2.35,3.86,0,1.21,9.19,0,0,0.98,0,0,4.93,0,0,19.14,0.66,0,0,2.03,0,0,1.19,1.04,2.47,0
 96-106,0,0,2.06,0.68,0,7.77,0,0,8.49,0,0,0,0,0,2.81,0,0,24.45,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.53,0,0,9.32,0,0,0,0.78,0,0,0,0,1.47,0,0,28.62,0,0,1.48,1.22,0,0,3.51,0,0,0
120,0,0,0,2.93,0,0,0,0,4.15,0,0,1.7,0,4.16,4.6,0,0,31.41,0,0,4.51,0,0,0,0,0,0,0
