stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0.89,0,0,0,14.94,0,0,0,0,0
 24-34,3.94,0,0,0.76,0,0,0,1.51,2.26,0,0,0,0,0,0,0,344.87,4.29,0,0,0.89,89.63,0,0,5.97,0,0
 36-46,1.35,0,0,1.63,0,0,0,4.23,0,0,0,0,0,0,0,0,472.95,0,0,0,0,127.62,0,0,0,0,0
 48-58,0,0,0,11.16,0.67,0,0,30.6,0,0,1.39,0,0.37,0,0,0.38,781.66,0,0,0,0,90.27,0,0,0,0,0
 60-70,6.45,0,0,90.93,0,0,0,22.35,0,0,0,0,11.68,0,0,0,1036.55,0.72,0,0,3.46,45.02,0,0,0,0,0
 72-82,2.88,0,0,180.64,0,0,0,22.33,0,0,0,0,10.81,0,0,1.48,1271.3,0,0,0,0,30.43,1.21,0,5,0,5.74
 84-94,0.86,0,0,158.64,0,0,6.39,18.64,0,0,1.44,1.82,4.68,2.12,0.66,0.75,770.51,0,0,0,7.94,23.23,0,0,0,0.62,0
 96-106,6.81,10.5,0,117.05,1,0,0,8.72,0,0,0,0,2.59,0,0,0,690.48,0.57,2.01,0.81,0,14.88,0,3.13,0,0,0
108-118,7.42,0,0.92,93.01,0,0.52,0,3.06,0.61,0.82,2.23,0,2.41,0,0,1.69,760.25,6.55,0,0,0,10.91,0.89,0,0,1.03,0
120,4.24,3.16,0,153.89,1.91,0,0,22.43,0,0,0,0,10.83,0,2.21,0,1183.25,0,0,0,1.1,10.6,0,0,0,0,0
