stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.01,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,106.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.62,8.49,0,17.31,0,0,0,0,0,0,0,0,0,0,0,0,84.32,6.13,0,0,45.3,0,0,0,0,0
 10-12,0,16.43,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.03,12.96,0,0,42.4,0,20.44,0,0,0
 14-21,0,0,0,0,1.93,0,0,25.2,0,0,0,0,0,0,0,0,0,20.84,0,0,0,0,0,5.22,1.43,29.58,0
 24-34,0,0,0,1.42,1.8,0,0,27.45,0,0,0,0,0,0,0.65,0,0,39.74,0.75,1.64,1.04,0,0,10.69,0,45.39,1.57
 36-46,0,0,0,0,1.8,0,0,24.77,0,0,0,0,0,0,4.61,0,0,30.95,0,2.14,0,0,0,8.57,0,79.25,0
 48-58,0,0,0,0,12.99,0,0,59.53,0,0,0,0,1.59,0,4.36,0,0.38,54.07,0,2.34,0,0,0,1.99,0,80,0
 60-70,0,0,0,2.7,13.14,0,0,44.02,0,0,0,0,0,0,6.33,1.84,0,24.31,0,1.21,0,0,0,4.67,0,41.71,0
 72-82,0,0,0,0,7.8,0,1.05,47.62,0,0,0,0,0,0,6.49,0,0,32.76,0,2.78,0.59,0,0,1.15,0,16.7,1.94
 84-94,0,0,0,0,9,0,0,30.88,1.03,0,0.6,2.29,0.64,0,6.48,1.56,0.75,13.1,0,5.11,4.63,0,0,0,0,18.84,0.84
 96-106,0,0,0,0,3.59,0,0,38.23,0,0,0,0.95,3.31,0,2.21,0,1.29,6.7,0.62,1.03,6.01,0,0.6,0.81,0,16.48,2.96
108-118,0,0,0,0,5.96,0,0.89,43.12,0.8,0.58,0,4.55,2.4,0,4.07,0,0,14.91,0,0.98,14.97,0,0.42,2.9,0,12.04,0
120,0,0,0,0,4.46,1.42,0,15.64,0,0,0,0,7.52,6.32,2.45,0,3.67,22.01,0,0,2.34,0,0,5.04,0,24.21,0
