stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,15.95,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,2.78,12.06,0.9,4.37,0,0,0,1.38,0,0,0,0,0,0,0,0,0,4.84,0,0,4.97,48.53,0,0,1.04,0,2.68,3.41,0,0,5.95,15.31,0,0,0,0,0
 24-34,0,0,0,3.3,0.62,17.92,0,1.24,0,2.81,0,0,0.67,0,0.69,0,0,0,0,14.42,0,0,13.1,1017.68,2.92,4.18,0,0,1.25,0,2.53,1.55,4.23,176.62,0,0,2.02,0,1.55
 36-46,0,0,0,4.94,0.57,33.55,1.4,0,0.57,140.92,0,0,0,0,0,0,0,0,0,26.02,0,0,7.57,2701.53,2.09,4.2,0.76,0,20.87,0,0,0,0,507.07,0,0,4.53,0,2.12
 48-58,0,0,0.72,1.24,0,99.06,0,0.41,0.65,236.14,0,2.08,2.85,0.7,0,0.62,0.39,0,0,46.57,0,3.32,8.02,1788.06,0,0.92,0.96,0,3.68,0,0,0,0,502.95,0,0,3.29,0,5.59
 60-70,0,0.7,0,0,0.78,99.99,0,0,2.62,132.59,0,0,2.49,0,0,0.6,1.03,0,0,44.46,0,0,13.47,666.07,1.69,0,1.23,0,2.33,0,0,1.01,0,179.15,0,1.68,2.89,0,0
 72-82,0,0,0,2.44,1.34,91,1.29,0.98,3.6,79.04,0,0,6.81,0,0,0.73,0,0,0,49.46,0.56,0,6.19,346.92,1.09,0,2.69,0,0.73,0,0.97,0,0,69.85,1.01,2.91,2.13,4.63,0
 84-94,0,0.66,0,3.98,0,47.49,2.24,3.24,1.81,40.27,0,0,1.99,4.24,1.33,0,0,0,0,42.38,1.19,4.7,3.77,250.68,7.35,0,1.3,0,0.56,0,0.6,0,0,58.84,2.07,1.15,3.79,6.38,2.64
 96-106,0,0,0,2.79,13.78,20.84,4.04,0,7.89,67.61,1.71,0,0.73,0.87,1.39,0,0,1.54,1.15,32.01,0,4.94,12.86,225.02,0.66,2.74,2.55,0,0.9,0,0,0,0,45.76,2.04,0,5.36,0,0
108-118,0,0,0,7.17,0,44.7,0,1.34,1.13,87.52,0,0,0.43,2.53,0,4.04,1.24,0.56,0.58,29.94,0,0,5.05,281.04,0.56,0,4.08,0,1.47,0,0,0,0,21.68,0.91,0,7.48,0,0
120,0,0,0,10.7,3.49,23.92,1.01,0,0,43.27,0,0,1.17,8.08,0,0,1.74,0,0,43.22,0,0,8.54,208.44,1.38,1.15,1.98,0,0,0,0,0,0,16.86,0,0,3.1,0,0
