stage,blastomeres,epidermis,eye,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,0,0,35.3,4.17,0,10.86,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,27.37,0,0,0,6.6,0,0,0
 14-21,0,0,0,12.41,0,0,0.83,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.86,0,0,0,0,0,0,0,0,1.47,0,0
 36-46,0,0,0.71,0,0,0,0,0,10.01,0,0,0,0,0,8.64,0
 48-58,0,0,1.13,0,0,0,0,0,9.8,0,0,0,0,0.7,0,0
 60-70,0,0,0.76,6.15,0,0,0,0,28.56,0,0,0,1.06,3.43,0,0
 72-82,0,0.96,11.07,0,0,0,0.98,1.44,52.35,0,0.52,0,0,7.33,0,0
 84-94,0,0,8.16,0,0,0,0,0,48.9,0,0,0,0,0,0,0.78
 96-106,0,0,6.73,0,0,0,0.82,0,74.95,0,0,0,0,0,0,0.58
108-118,0,0,16.27,4.16,0,0.69,1.49,0,111.08,0,0,0,0,0,0,0
120,0,0,10.7,6.49,0,0,0,0,94.32,0,0,0,0,0,0,0
