stage,blastomeres,epidermis,eye,glial,immune,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord,taste,vasculature
  3-4,41.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.02,0,0,0.91,0,0
 24-34,0,0,0,0,0,0,0,2.73,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,3.47,0,0,1.91,0,0
 48-58,0,0,0.92,1.6,0,0,0.45,3.09,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.47,0,0,0.69,0,2.2
 72-82,0,0,0,2.09,0,0,0,0.89,0,0,1,0,0
 84-94,0,0,0,0,0,0.58,0,0,0,0,0,0,0
 96-106,0,3.83,0,0,0,0.79,0,0,2.28,0,0,0,0
108-118,0,0,2.04,0,0.7,0,0,0,0.55,0,0,0.94,0
120,0,12.1,0,0,0,1.15,0,15.17,0,1.68,3.65,0,0
