stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,0,293.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.3,301.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.04,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,107.68,0,0,25.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.88,0,0,5.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.25,0,2.12,0,0,0,0,0,0,0,0,0.83,0,0,0,56.35,0,0,0,0,0,3.38,0,1.91,15.8,0,0,0
 24-34,0,0,0,0,0.81,0,10.33,0,0.62,0,1.75,0,0,0,0,0,0,0,0,157.43,0,0,0,12.45,0,0.94,0,0.74,20.1,0,0,0.63
 36-46,0,0,0,0,0,0,21.87,0,0,1.65,7,0,0,5.5,0,3.24,0,0,0,233.22,0.64,0.6,0,1.71,0.81,0,0,0,56.67,0,0,0
 48-58,0,0,0,0,1.2,0,23.24,2.77,0,0,20.61,0,0,4.01,0,0.75,0,0,0,78.78,1.2,0.77,0,0,0,0,0,0,14.45,0,0,0.62
 60-70,0,0,0,0,0.75,0,35.87,1.08,1.46,0,51.76,0.63,0,1.33,0,2.91,0,0,0.6,59.02,0,0,0,2.89,0,0,0,0,4.64,0,0,0
 72-82,0,0,0,0,0,1.22,46.52,0,0,0,52.77,7.4,0,8.24,0,4.95,0,0,0.8,46.93,0,0,0,0,0,0.53,0,0,10.04,0,1.33,0
 84-94,0,0,0,0,0.66,6.87,67.13,0,0,0,21.47,15.62,3.42,6.42,0,3.15,0,0,0,40.51,0,0,0,1.18,0,4.39,0.62,0,6.51,0,0,0
 96-106,0,0,0,0,4.41,1.65,54.52,0,0,11.55,45,13.56,0.86,18.41,0.69,3.79,0,0,0,67.85,0,0.65,0,15.73,0,0.81,7.42,0,6.14,0,0,1.19
108-118,0,0,0,0,4.23,25.58,79.93,0.64,0,0,47.23,17.95,0.59,17.5,0,10.61,3.33,0,6.01,75.06,2.1,2.9,0,7.39,0,2.78,1.69,0,6.21,0.8,0,0
120,0,0,3.9,0,21.96,8.43,49.32,4.08,0,8.5,40.26,12.84,0,7.5,0,11.96,0,9.54,14.66,109.83,1.32,7.03,0,1.71,0,1.58,0,0,26.95,0,0,0
