stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,73.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.62,0,0,48.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,103.9,0,0,87.87,0,0,0,7.01,0,0,0,0,0,0
 14-21,0,0,0,15.94,0,0,2.91,0,0.99,0,1.05,0,0,0,0,0,0,0,0,36.08,20.09,0.86,0,0.97,0,0,1.58,0,0.88,48.27,0,0,0,0
 24-34,0,0,0,31.68,0,2.49,1.75,0,0,0,0,0,0,0,0,2.4,0,0,1.48,215.89,1.24,0,0,0,4.27,0,0,0,1.34,304.14,0,0,4.52,1.55
 36-46,0,0,0,2,0,20.63,0.58,1.46,1.97,0,0,0,0,0,0,1.59,0,0,2.23,486.86,0,1.95,0.63,0,0,0,0,0,0,730.98,0,0,0,0
 48-58,0,0,0,7.88,0,33.21,0,0,10.83,0,0,0,0,0.38,0,1.07,0,0,1.17,761.96,0,0,0,0,0,0,0,0,0,448.6,0,0,0.44,0
 60-70,0,0,0,8.47,0,109.47,0,0.87,21.44,0,0,1.91,0,0,0,8.14,0,0,0,1442.55,0,0,1.23,0,0.8,0,0,0,0,490.14,0,0,0,0
 72-82,0,0,0,15.68,3.34,119.77,0,0.58,19.64,0,0.52,0,0,0,0,9.52,0.92,0,0,1585.27,0,0,0,0,0,0,0,0,0,281.98,0.59,3.4,0,0
 84-94,0,0,0,16.66,0.66,80.22,0,1.49,9.21,0,0,0,0,0,0,6.28,0,0,0,846.82,0,0,0,0,1.35,0,0,0,0,155.36,0,0.57,0,0
 96-106,0,0,0,23.45,0,80.8,0.64,0,18.54,0.58,0,0,0,0,7.24,9.15,0,2.02,0,930.93,0,1.13,0,0,0,2.06,0,0,0,91.22,1.13,1.16,0,0
108-118,0,0,0,4.68,0,84.85,0.65,0.5,8.36,0,0,0,0.59,0,0,11.42,0,0,0,963.09,0,3.85,0,0,3.61,0,0,0,0,80.98,0,0,0,0
120,0,0,0,3.3,2.24,114.3,2.08,0,19.92,0,0,0,3.53,0,0,18.05,0,0,9.43,1473.26,0,0,0,0,0,0,0,0,0,113.59,0,0,0,0
