stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.58,0,0,0,0,0,12.65,0,0,0,0,0,0,0,0,0,0,106.5,0,0,0,18.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,14.47,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,20.75,3.62,0,9.98,0,1.07,0,0,0.85,0,0,0,0,0,0,0,2.76,0,0,5.48,89.65,0.81,0.86,2.78,0.92,8.81,4.5,8.67,19.2,0,0,0,0,0
 24-34,0,0,7.05,0,0,12.87,0,0,0,0.89,0,0,0,0.71,0.85,0,0,0,18.13,0,0,3.29,177.06,1.71,0.62,0,0,23.28,0,0.64,54.63,0,0,2.69,0,10.67
 36-46,0,0,2.2,0,0,31.82,0,8.12,0,8.07,1.2,0,0,0,0,0,0,0.61,23.19,0,0,2.59,177.46,0,6.25,0,0,29.41,0,0,43.1,0,0,0,0.78,0
 48-58,0,0,11.38,0,0,51.29,1.39,0.4,1.49,25.42,0.46,0,0,0,0,0,0,0.91,14.18,0,0,1.41,192.67,0.71,0,0,0,11.72,0,0,32.86,0,0,7.44,0,0
 60-70,0,0,3.73,0,0,105.37,0,0,1.37,6.08,0,0,0,0,1.11,0,2.13,0.59,16.42,1.01,0,0,134.76,2.21,1.47,2.6,0,4.06,0,0,20.29,0,0,0.63,0,0.91
 72-82,0,0,1.49,3.99,0,24.96,0,0,1.51,16.23,5.55,0,0,1.33,0,0.93,3.6,0,20.83,0,0.57,0.49,110.47,0,0,0.59,0,1.36,0,0,3.75,0.82,0,5.8,1.62,0
 84-94,0,1.44,9.83,24.7,0,31.02,0,3.15,1.17,5.25,1.31,0,0,7.34,1.11,0,0.66,0,13.61,2.28,1.13,1.99,58.73,0.62,0,0.91,0,7.76,0,0,11.02,1.14,0,2.81,2.93,0
 96-106,0,0,4.44,26.01,0,33.04,10.06,5.66,0,7.04,3.74,0,0.61,3.05,0,0.66,0,0.98,14.02,4.87,4.81,1.79,15.37,1.38,0,1.35,0,8.85,0,0,7.32,0,0,9.9,1.58,0.9
108-118,0,0.94,7.94,1.33,1.54,18.94,0,2.02,0.56,6.87,4.11,0,0,4.01,0,0,0.56,0,18.15,0.93,0,0,58.63,0,0,0,0,9.03,0,0,5.09,3.11,0.5,0,0,0
120,0,0,6.94,0,0,39.35,0,1.11,0,1.14,1.15,0,0,0,0,0,0,0,9.57,0,0,0,11.77,0,0,2.08,0,7.62,0,0,4.07,0,0,0,0,0
