stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,4.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,3.57,0,0,6.87,0,0,0,0,0,0,0,0
 14-21,0,1.23,6.98,3.04,1.01,0,0,2.64,0,0,0,3.1,0,0,0,0,5.65,0,2.77,74.55,0.83,0,1.64,2.08,0,9.3,0,0,9.5,28.15,0,0
 24-34,0,0,0.66,0.62,8.52,0,0,3.78,0,0,0,0,0,0,0,0,9.4,0,3.48,73.78,0,1.6,0.73,0,1.05,0,0,0,2.02,10.45,0,0.76
 36-46,0,0,0,0,15.55,0,0,4.5,0,0,0,0,0,0.79,0,0,11.3,1.14,2.77,112.06,0,1.34,0.72,0,0.66,0,0,4.81,0,30.81,0,0
 48-58,0,0,1.51,0,29.99,0,0,13.64,0,0,0,0,0,0,0,0.53,13.54,0.84,2.02,105.55,0,1.71,0,0,0,0,0,0,0,15.36,0.89,0.83
 60-70,0,0,0,0,22.66,0,0,2.91,0,0.59,0,0,0,0.79,1.72,0,12.89,0,0.74,90.87,0,0,0.84,0,4.75,0,0,0,0,11.35,0.73,0
 72-82,0,0,1.77,0,41.1,0.59,0,7.2,0,0,0,0,0.83,0,0,0,12.27,0.51,2.07,68.27,0,0,0,0,0.57,0,0,0,0,5.65,8.97,0
 84-94,0,0,0,0,12.39,0,0,0,1.87,0,0,0,0.67,0,0,0,20.03,0,0.69,28.89,0.63,0,0,0,3.89,0,0,0,0,6.42,0,0
 96-106,0,0,3.99,0,28.71,0,0,11.84,1.01,0.73,1.18,0,0,0.65,0,0,16.11,0,0.6,41.63,0,4.27,1.34,0,11.21,0,0.58,0,0,4.2,3.18,0
108-118,0,0,4.53,0,30.32,0,0.62,9.14,0,0,0,2.01,0,0.69,0.43,0,22.14,0.69,1.59,70.25,0,0,1.33,0,1.25,0,0,0,0,0,0.48,1.59
120,0,0,1.23,0,12.03,0,0,11.09,0,0,0,0,0,0,0,0,9.02,8.06,1.74,83.72,0,0,6.93,0,0,0,0,0,0,0,0,0
