stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,liver,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,1037.69,28340.24,0,0,0,0,0,0,0,0,0,1134.45,0,0,0,0,0
  5-6,2230.73,33210.87,37.87,0,0,108.08,0,0,1290.56,69.37,221.72,536.68,0,0,0,0,0
  7-9,710.56,976.25,1086.26,0,2221.47,787.95,0,0,20481.03,861.19,6502.07,40.56,214.01,0,12.83,0,0
 10-12,3.8,651.51,1519.62,141.72,1581.59,691.3,3.73,7.75,19945.75,1358.55,7356.83,25.65,164.18,35.73,840.04,89.62,31.22
