stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,144.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0
  5-6,130.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,35.46,0,4.46,0,0,0,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.44,0,0,22.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.53,0,0,25.77,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0.88,30.63,0,0,0,0
 24-34,0,0,0,1.37,0,0,1.45,0,0,2.53,0,0,0,1.32,0,0,0,2.89,0,0,11.37,308.87,3.22,0,0,0,0,0,113.38,0,0,0,0
 36-46,0,0,0,0.87,0,0,10.4,0,0,1.78,0,0.65,0,0,0,0,0,3.2,0,0,2.03,765.87,16.12,0,0,4.34,0,0,191.76,0,0,0,0
 48-58,0,0,0,7.37,0,0,76.62,5.07,0,14.14,0,0,0,2.55,0,0,0,22.11,0,0,1.74,1057.73,14.78,0,0,13.09,0,0,204.37,0,0,0,0
 60-70,0,0.57,0,1.99,0,0,207.56,0,2.2,26.82,0,0,0,0,0,0,0,9.57,0,0,5.59,1688.56,11.81,0,0,0,0,0,309.79,0,0,0,0
 72-82,0,1.18,0,4.4,5.32,0,275.63,0,0,21.72,0.56,0,0,0,0,0,6.69,9.87,0,0,2.07,1512.16,14.4,0,0,1.73,0,0,192.39,0,0,2.93,2.76
 84-94,0,0.81,0,1.46,0,0,208.47,0,0,8.94,0,0,0,0,0,0,0,13.48,1.53,0.63,0.84,1140.51,7.68,0,0,1.57,0,0,147.39,0,0,0.97,0
 96-106,0,0,0,5.11,3.97,0,205.83,1,0,23.07,0,0,0.77,0,0,1.6,0,12.14,0,1.24,1.48,854.27,13.64,0,0,3.76,0,0,86.18,1.13,1.27,0,0
108-118,0,0,0,6.7,6.32,0.96,168.11,0.77,0,24.84,0,0,0,0.45,7.25,1.84,0,15.13,0,2.52,1.24,1093.95,3.88,0.57,0,1.47,0.79,0,50.34,3.33,0,0.99,0
120,0,0,0,0,6.3,0,311.43,0,0,53.2,0,0,0,2.4,11.74,0,0,15.07,0,0,4.01,2144.32,6.97,13.23,0,10.57,0,0,99.04,0,0,0,0
