stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,otic,vasculature
  3-4,66.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,0,0
 24-34,0,0,0,0,0,1,0,0,0,0,0,0,1.26
 36-46,0,0,0.69,0,0,0,0,0,0,0,0,0,1.99
 48-58,0,0,2.67,0,0,0,0,0,0,0.54,0,0,1.91
 60-70,0,0,20.9,0,0,0,0.92,13.67,0,0,0,9.56,4.86
 72-82,0,0,7.2,0,0,0,1.56,22.98,0,0,1.07,0,5.46
 84-94,0,0,8.1,0,1.17,0,1.75,8.61,5.51,0,0,0,0.6
 96-106,0,1.1,23.57,3.18,0,0,5.88,28.69,0,0,0,0,1.39
108-118,0,0,5.52,0,0,0,7.41,1.59,0,0,10.65,0,4.3
120,0,0,5.63,0,0,0,15.87,0,0,0,17.74,0,4.29
