stage,blastomeres,neural,paraxial_mesoderm,spinal_cord
  3-4,60.07,0,0,0
  5-6,60.74,0,0,0
  7-9,0,0,4.66,0
 60-70,0,0,0,1.59
 72-82,0,2.72,0,0
