stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.18,506.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.46,424.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,51.73,39.28,55.24,0,0,0,70.91,0,0,0,0,47.82,0,0,0,0,0,0,0,0,0,548.28,19.6,0,0,298.47,0,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.94,308.29,0,32.13,0,103.43,0,0,0,0,18.58,0,0,0,0,0,0,0,0,0,828.7,189.44,0,0,1171.78,0,3.1,6.41,0,159.84,0,30.11,0,0,0,0,0,0
 14-21,2.31,0,3.69,40.86,9.78,0,0.82,3.21,0,26.34,4.52,0,0,0,0,0,0,27.44,0,0,10.1,60.37,6.92,1.82,2.3,9.45,0,7.55,0,85.76,12.71,21.67,36.97,58.15,0,0,3.13,0,0
 24-34,0,0,2.79,20.23,0,0,8.23,8.12,0.63,11.93,2.4,0,0,0,1.32,0,0,33.21,0,0,25.03,64.25,0.62,5.61,0.65,0,0,0.61,0.98,0,7.6,0.82,14.24,58.4,0,0,13.46,0,2
 36-46,0,0,0,11.67,0,0,8.95,0,5.11,13.18,0,0,0.99,0,0,0,1.07,48.24,0,0,20.46,33.34,1.01,5.86,0.8,0,0,0,0,0,2.04,4.81,0.56,16.08,0,0,4.29,0,0
 48-58,0,0,0,0.42,0,0,5.34,0.89,3.97,0,0,0,0,0,0,0,0,42.44,0,0,12.32,28.33,0,0.91,2.99,0,0,0,0,0,0.61,0,0,9.83,0,0,0.4,0,0
 60-70,0,0,0,0.71,10,0,12.56,0,2.66,0,0,0,0,0,0,0,0,93.99,1.53,0,6.59,47.73,0,0,1.33,0,2.4,0,0,0,0,0,0,4.66,0,0,0,2.44,10.02
 72-82,0,0,0,4.22,0,0,7.51,0,14.62,6.44,0,0,0,0.8,0,0,0,142.77,0,1.13,24.64,25.05,0,3.26,0.61,0,0,1.44,0,0,0.73,0,0,8.51,0.82,3.19,3.59,6.95,0
 84-94,0,0,0,0.62,0,0,9.3,1.52,0.7,27.68,0.6,0,0.97,0,0,0.79,0,84.31,0,2.25,9.9,4.06,0,6.1,0.91,0,6.23,2.34,0,0,0,0,0,4.15,0,2.31,10.12,9.8,2.43
 96-106,0,0,0,0,0,0,13.66,0,3.2,15.86,0,0,0,0.85,0,0,0,95.03,0,15.01,7.29,14.21,0,7.46,4.54,0,6.11,0,0,0,0,0,0,0.83,0,8.22,0.83,22.9,0
108-118,0,0,0.74,2.3,0,1.87,14.61,0,1.36,20.83,0.5,0,0,0.68,0,0,0,76.93,0,0.98,10.86,27.11,0,10.44,0.63,0,6.19,0,0,0,0,0,0,0.61,1.29,13.18,7.21,21.79,7.45
120,0,0,0,1.09,0,0,14.88,0,6.56,0,2.99,0,0,0,0,0,0,139.63,0,96.78,20.34,57.92,0,1.5,2.38,0,17.25,0,0,0,0,0,0,0,0,1.54,6.37,31.31,0
