stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,243.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0,0
  5-6,0,248.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,3.48,0,0,0,10.15,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,48.56,0,0,0,17.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,21.76,0,0,0,0,0,204.27,0,0,0,0,0,0,0,0,0,0,131.93,21.76,0,0,24.43,0,0,0,0,20.1,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,12.91,9.79,0,12.48,0,0,0,0,0,145.63,0,3.32,0,0,13.04,0,0.81,0,0,0.85,71.6,32.82,0.85,1.06,1.12,0,0,0.9,10.59,0,13.31,11.59,0,0,0,0,0
 24-34,0,0,0,0,0.64,0,0,12.43,0,1.59,0,1.61,1,0,0,0.86,0,0,3.91,0,5.16,0,0,0,118.87,7.93,1.99,0,0,0,0,0,0,0,0.71,30.12,0,0,0.83,0,0
 36-46,0,0,0,0,1.52,0,0,5.86,0,0,0,0,1.2,0,0,0,0,0,0,0,4.29,0,1.13,0,258.94,6.35,0,0,0,0,0,0,0,11.33,0,25.41,0,0,0,0,0
 48-58,0,0,2.52,0,2.12,0,0,13.74,0,0,0.54,40.77,0.64,0,0,0,0,0,0.8,0,20.79,1.16,0,0.64,468.03,0,0,0,0,0,0,0,0,0,0,50.61,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,67.85,0,0,0,39.48,1.19,0,0,1.82,0,0,0,0,38.91,4.53,0,2.1,724.54,1.01,0,0,0,0,0.78,0,0,0,0,353.54,0.61,0,0,0,10.73
 72-82,0,0,1.9,0,6.56,0.61,0,152.76,0,0,0,21.67,22.07,0,0,0,0,0,0,0,55.72,0,0,0.81,598.75,0,2.18,0,0,0,1.29,0,0,0,0,198.78,2.03,8.93,1.62,0,1.41
 84-94,0,0,0,0,8.28,7.16,0,120,0,0,0,19.06,47.1,0.77,0,0,4.35,0.73,0,5.21,37.38,0,0,0,307.32,0,0,0,0,1.53,0,0,0,0,0,145.41,0,3.64,0,0,4.85
 96-106,0,0,0,0,3.47,0,0,219.55,0.59,0,0.71,29.36,32.98,0,2.55,0,8.03,0,0,0,32.05,3.88,0,1.95,277.11,0,4.31,0,0,0,0.7,0,0,0,0,21.83,1.82,0.83,0,0,9.01
108-118,0,0,0.47,0,1.45,0,0.46,180.5,0,0.44,1.43,42.23,33.42,0,0,0,13.45,0,3.69,0.61,17.57,0,0,0.72,298.18,0.96,1.84,7.14,0,0,0,0,0,0,0,32.99,0,2.5,0,0.95,0
120,0,0,0,0,0,0,0,126.69,2.98,0,0,14.4,51.73,0,0,0,35.74,1.11,3.01,0,24.69,0,0,0,409.88,0,1.29,0,0,0,0,0,0,0,0,27.03,3.65,0,0,0,0
