stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,414.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.33,0,0,0,0,0,0,0,0,0
  5-6,0,506.73,0,0,0,0,0,0,0,12.54,0,0,0,0,0,39.01,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,15.51,0,41.2,0,48.08,0,0,0,0,12.68,0,0,0,0,0,436.88,12.53,0,222.5,0,0,38.85,0,0,0,0,0,0,0,0
 10-12,0,11.37,12.75,0,28.12,0,0,0,0,19.41,0,0,0,0,0,250.84,3.36,0,82.91,0,0,15.62,0,30.22,0,0,0,0,0,0
 14-21,0,0,0.87,3.8,5.43,0,0,2.01,1,0,0,0,2.83,0,0.93,50.1,0.85,0,0,0,0,1.58,4.81,0,2.05,27.13,0,0,0,0
 24-34,0,0,0,0,2.88,0,0,2.35,0,0,0,0,2.54,0,3.76,26.26,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0
 36-46,0,0,0,1.55,2.91,0,0,1.88,0,0,0,0,1.41,0,0,18.2,0,0.82,0,0,0.91,0,0,0,0,4.6,0,0,0,0
 48-58,0,0,0,0,8.04,0,0,0.43,0,0,0.56,0,4.67,0,0,10.22,0,0,0,0,0,0.65,0,0,0,1.62,0,1.72,0,1.9
 60-70,0,0,0,0.71,8.69,0,0.86,2.2,0,0,0,0,1.77,0,0,11.29,0,0,0,0,0,0.64,0,0,0,1.6,0,2.92,0,0
 72-82,0,0,0,5.58,2.66,0,0,0,0,0,0,0,6.9,0,0,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.34,5.4,1.88,0,0,0,0,0,0,7.19,0,1.23,11.98,0,0,0,0,2.09,0,0,0,0,1.5,0.56,0,0,0
 96-106,0,0,0,3.2,0.64,0,0,2.99,0,0,0,2.65,0,0,0,8.15,0,0,0,0,2.04,1.57,0,0,0,2,0,0,0,0
108-118,0,0,5.15,0,14.32,0,0,2.68,0,0,0,0,1.8,0,0,5.26,0,0,0,2.08,0.6,2.93,0,0,0,0,0,2.75,0,0
120,0,0,0,0,0,0,0,3.29,0,0,2.09,0,1.44,8.9,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0
