stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.93,0,0,0,0,0
 24-34,0,1.28,0,1.12,0,0,0,0,0,0,0.63,101.2,6.52,0,0,0,0,19.78,0,0,0.61,0,0
 36-46,0,0.94,0,3.68,0,0,0,0,0,0,0,321.07,3.42,0,0,0.86,0,36.05,0,0,0,0,0
 48-58,0,3.23,0,13.7,7.07,0,0,0,0,0,5.05,290.52,0.77,0,1.97,0,1.4,24.21,0,0,0,0,1.25
 60-70,0,0,0.62,74.18,0,0,3.12,0,6.36,0,0,843,1.55,0,0,0,0,64.38,0,0,0,0,0
 72-82,0,0,0.56,128.51,0,0,8.58,0,0,4.32,0,586.6,1.12,0.7,0,0,0,25.5,3.98,3.83,0,1.53,0
 84-94,0,0.76,0,90.89,0,0,4.58,0,0.93,0,0,437.67,1.16,0,0,0,0,20.31,0,0,0,0,0
 96-106,0,2.46,4.56,88.34,0,0,7.26,0.68,2.56,0,0,372.66,2.08,0,4.46,0,0,2.27,1.13,0,3.27,0,0
108-118,0.71,2.36,0,72.2,0,0,0.99,0,2.56,0,0.52,402.24,1.43,0.61,0.44,0,0,13.21,0,0,1.63,0,1.43
120,0,17.48,0,157.7,0,19.92,0,0,11.57,0,2.57,681.04,6.87,0,0,0,0,17.03,0,0,0,0,0
