stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,0,3.44,2.98,0,9.23,0,0,0,0,0,4.49,0,0,0,0,0,0,6.96,0,9.09,168.35,5.12,0,0,1.67,0,0,0.96,3.23,1.61,10.77,40.79,0,0,6.96,0,0
 24-34,1.45,3.65,24.67,4.1,0,31.12,0,0,0,6.06,1.19,6.28,3.83,0,0.64,0.63,0.69,7.36,36.64,0,23.73,810,0.7,13.12,3.58,0,0.99,1.2,0,0.76,0,2.27,232.23,0,0,35.37,0,0
 36-46,0,0,12.71,0,0,33.23,5.92,0,1.57,62.24,0,9.52,13.33,0,0,0,0,20.94,27.85,7.84,12.84,1261.89,0,4.98,1.98,16.41,0,1.8,0,0,0,0.74,279.85,0,0,52.87,0,0
 48-58,0,0,3.81,0,0,211.9,1.38,5.12,0.44,81.18,0,3.85,0,0,0,1.73,1.98,15.05,58.76,2.87,19.43,1309.6,0.72,3.01,2.43,0,1.37,0.97,0,0,0,0,202.57,0,0.74,19.33,0,18.02
 60-70,0.89,0,2.74,0,0,644.59,1.41,0.59,0,62.85,5.79,3.17,0,0,0,0,8.95,0.86,84.29,3.94,5.21,1661.43,1.07,2.22,1.88,0,0.63,0,0,1.35,0,0,130.37,0,1.33,13.16,0.89,6.89
 72-82,0,0,7.65,6.28,0,725.36,0.59,0,2.58,81.65,0.57,3.34,0,0,2.2,0.95,0,1.89,127.1,10.39,5.89,1320.64,0,3.32,2.63,0,3.77,4.06,0,0,0,0,89.24,1.21,11.15,25.8,9.43,9.8
 84-94,0,0,10.16,2.64,0.6,514.55,2.63,0,3.04,103.5,1.01,6.63,0,2.39,1.5,0.59,0,10.06,118.43,5.79,8.85,946.24,1.16,0.93,7.51,0,3.96,1.93,0,1.76,9.21,0,73.93,0,6.22,26.7,2.71,0
 96-106,0,0,16.12,14.7,0.8,505.67,0.62,0,1.02,78.32,0,6.12,0.64,0.8,1.28,2.2,1.19,2.98,113.93,1.86,8.83,737.42,0,4.89,6.83,0,11.24,6.31,0,0,0,0,27.97,0,6.61,29.15,7.88,0
108-118,0,0.74,9.81,2.35,1.84,389.79,1.75,0,0,78.72,0.44,4.16,0,3,2.92,0,0,7.64,177.92,10.52,21.61,1109.2,0.43,1.42,5.21,0,10.52,0.45,0,0,0.51,0,16.36,1.13,5.1,24.55,3.57,0
120,0,0,8.24,1.23,2.59,251.48,2.43,0,0,108.9,0,3.15,0,0,2.23,5.5,0,0,118.92,0,2.82,1147.95,0,4.29,0,0,0,3.27,0,0,0,0,35.85,0,5.27,47.67,8,2.08
