stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,102.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,0,139.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,11.11,0,0,0,0,38.31,0,0,0,0,0,30.18,0,0,0,0,0,0,0,0,150.1,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.84,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.19,22.4,0,0,61.66,0,0,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,9.75,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,2.53,0,7.17,30.34,14.04,0,0,0.84,0,0,1.71,0,1.23,6.9,17.18,0,0,0,0
 24-34,0,0,0,2.37,0,0,6.23,0.75,0,0,0.9,0,0,0,0,0,0,0,16.67,0,4.28,130.75,0.62,1.25,1.16,0,0,0,0,0,0,0.63,43.57,0,4.43,0,0
 36-46,0,0,0,1.86,0,0,19.11,0,0,0,0.94,0,0,0,0,0,0,0,1.54,0.67,1.62,209.69,0,1.06,0.74,0,0,0,0,1.34,0,0,32.23,0.62,3.59,0,0
 48-58,0,0,0,0.92,0,0,99.39,8.36,0,0.38,13.15,0,0,0,0,8.75,0.61,0.54,5.95,0.84,4.5,224.01,6.86,0,0,0,0,0,0,0,0,0,22.93,0,1.06,0.78,0
 60-70,0,0,0,0,0,0,301.41,0,0,0,31.75,0,0,0,0,0,0.63,0,10,0,0.58,258.17,0,0,3.63,0,0,0,0,0,0,0,18.08,0,2.44,0,0
 72-82,0,0,0,0.76,0,0,223.08,0,1.57,0,52.98,0,0,0,0,0,0,0,17.83,5.07,0.71,187.73,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1.95,10.55
 84-94,0,0,0,0.87,0,0,275.02,0,1.13,0,40.13,1.22,0,0,0,1.13,0,0,26.91,0.81,4.02,107.91,0,0,0,0,0,2.36,0,0,0,0,11.94,1.03,3.26,3.18,0
 96-106,0,0,0,9.72,2.71,0,394.32,0.92,0,0,36.47,1.54,0,0.82,2.3,0,0,0,7.09,0,1.38,83.49,0,5.3,0,0,0,0.69,0,0,0,0,0,0,0,3.67,0
108-118,0,0,0,2.97,1.11,0.55,509.58,1.57,0,1.3,32.86,0,0,0,0,0,0,0,24.86,0,0,142.81,0,0,0,0,5.44,0.95,0,0,0,0,3.43,0,1.47,2.22,1.33
120,0,0,0,17.55,0,0,448.74,4.88,21.39,10.02,131.31,0,0,0,0,0,0,0,51.09,2.33,2.99,228.26,1.33,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0
