stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,1.72,0,0,10.14,0,0,0,0,36.77,0,0,0,0,0,0,0,1.81,0,0,6.67,0,0,0,0,0,0,1.16,0,0,0,0
 72-82,1.25,1.26,1.59,0,25.57,0,2.98,0,4.51,519.95,0,0,0,2.2,0,4.65,0,14.77,0,0,122.38,0,2.02,0,2.36,4.46,0.64,3.5,0,5.58,0,0
 84-94,5.53,3.23,0.86,0,40.85,0,0,0,2.37,1057.69,0,1.16,0.64,0,0,0.89,4.3,5.8,0,0,67.44,0,0,0,0,1.2,0,0,0.56,1,0,5.36
 96-106,14.69,3.89,5.05,0,79.87,0.93,1.44,11.55,5.32,2028.7,0,8.76,1.52,6.33,0,26.9,0,26.17,6.02,10.66,229.48,1.15,0.66,8.01,0,23.18,0,12.15,0,3.19,0,4.13
108-118,4.88,6.96,1.89,4.94,65.58,1.39,0.52,1.03,6.73,2443.39,1.81,1.96,0.49,5.4,0.81,11.86,1.99,21.22,3.53,1.58,187.29,0.43,4.76,1.66,6.34,7.79,0,0,1.06,3.48,0.55,0.89
120,0,1.24,4.84,0,23.59,0,0,0,13.72,1371.99,0,4.1,0,0,0,16.73,0,19.33,0,6.85,264.75,0,1.15,0,0,2.8,0,9.86,0,2.64,0,0
