stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0.96,0,0.97,162.62,0,0,0,2.22,0,1.05,157.66,0,0,0,0
 24-34,0,1.12,3.05,0,6.92,0,0,0,1.13,1.35,0,0,0,1.95,0,0,1287.98,0,0,0,0,0,0,588.51,0,1.15,0,0
 36-46,0,0,1.03,0,19.46,0,18.01,0,3.65,0,0,0,0,1.65,0,0,1291.46,2,0,0,0.68,0,0,679.23,0,0,0,0
 48-58,0,0,0,0.65,56.68,0,0,0.43,8.13,0.38,3.68,0,4.98,8.47,7.44,0.64,812.92,7.15,0.46,0.39,0.46,3.46,0,302.52,0,0,0,5.83
 60-70,0.91,0,1.84,0,64.34,1.01,0,0,2.84,0,0,0,0,9.73,0,4.59,501.25,0,0,0,0,0,0,145.69,0,0,0,0
 72-82,0,0,0,0,77.14,0,0,0,13.13,0,0,0,0,7.29,0,0,352.94,0,0.54,0,0,0,0,93.57,0,0,0.96,14.07
 84-94,1.16,0,0,0,75.63,0,0,0.87,2.23,0,0,1.29,0,4.39,0,0,229.89,0,0,0,0,0,0,40.31,0.74,0,0,0
 96-106,0,0,0.99,0,87.82,0,4.06,0,3.95,0,0,0,0,4.97,0,0,236.19,0,0,0,6.35,0,0,61.13,0,0,0,0
108-118,0,0,0.58,0,141.22,0,0,0,1.56,0,0,0,0,1.54,1.19,0,220.66,0,0,0,0.47,0,0,15.96,0,0,0,0
120,0,0,1.24,0,107.44,0,0,0,29.1,0,0,0,0,16.2,0,0,362.62,0,0,0,1.82,0,0,45.18,0,0,0,0
