stage,axial,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,3.01,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.84,3.55,0,0,0,0,0.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,141.95,0,0,0,1.45,0,0.86,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,234.51,0,0,0,0,0,1.87,0,0
 48-58,0,0,0,3.88,0.82,0,0,0,0,0,0,0,0,10.71,276.35,0,0,0.37,0.38,0,1.07,0,0
 60-70,0.8,0,0,1.85,1.37,3.62,0,0,0,0,0.75,0,0,6.07,177.73,0,0,0,1.41,0,0,2.2,0
 72-82,0,0,0,0,0,5.26,0.49,0,0,0,0.6,0.78,0,2.56,135.41,0,0,0,33.49,0,0,0,0
 84-94,0,0,0,3.9,1.11,3.84,0,0.58,0,0,0,0,0,14.14,211,0,0,0.96,76.99,0,0,0,0
 96-106,0,4.82,0,7.27,5.42,83.33,0,1,0.85,0,8.83,7,0,37.92,245.44,1.82,0,1.21,108.13,0,0,1.41,0.76
108-118,0.5,0,4.41,12.59,3.22,263.04,0,0,0,0.43,17.74,0,1.98,47.52,349.46,0,0,1.26,141.22,0,0.69,0.58,0
120,2.37,1.33,0,16.38,5.85,284.8,5.2,0,0,2.32,8.49,0,0,34.13,488.45,0,0,3.28,137.11,0,0,0,0
