stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,43.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,13.86,0,30.73,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,88.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.29,0,0,0,12.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.1,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,95.93,0,0,0,0,0.95,0,42.97,0,0,0,0
 24-34,0,0,0,1.3,0,0,6.76,0,0,0,6.58,0,0,0,0,0,0,0,8,0,2.78,560.11,0,0.85,9.3,0,17.35,0,145.51,0,12.58,0,4.46
 36-46,0,0,0,0,0,0,5.92,0,0,0,17.51,0,0,0,0,0,0,0,8.39,0,0.59,1672.8,0.73,2.94,0,0,4.63,0,217.23,0,0,0,0
 48-58,0,0,0,0,10.3,2.29,125.06,0,0,0,30.5,0,0,0,0,0.75,0,1.9,14.35,0,1.8,1596.33,0.61,2.78,2.28,0,7.35,1.09,138.93,0,1.37,0,1.25
 60-70,0,0,0,0,6.07,0,86.55,0,0,0.76,11.73,1.02,0,0,0,0,0,0,13.34,0,0.93,1016.87,0.62,4.08,9.83,0,5.31,0,40.33,0.73,7.15,0,0
 72-82,0,0,0.93,0,6.76,1.33,100.77,0,5.06,0,27.53,0,0,0,5.83,0.5,0,0,25.41,7.29,0,722.83,0,1.23,6.39,0,3.43,0,18.71,0,1.22,0.75,20.49
 84-94,0,0,0,0,0,0,108.55,0,0,10.73,6.7,0,0,2.06,0.71,6.17,0,0,10.34,3.61,1.51,536.49,7.58,0,15.03,0,3.32,0,16.78,0,1.19,0,0
 96-106,0,0,0,0,2.69,0,41.35,0,0,7.73,5.61,0.96,0,0,0.66,5.43,1.39,0,22.94,0,0,547.52,0,0,21.25,0,2.67,0,1.43,0,3.64,0,2.76
108-118,0,0,0,0,14.13,1.94,71.44,2.08,0.43,0,2.05,0,0,0,0,4.45,0,0,9,0.94,0.76,428.22,0.62,0,29.61,0,0.85,0,0,0,0,1.82,0
120,0,0,0,0,8.63,0,125.46,0,0,0,6.9,0,0,0,0,0,17.89,0,25.17,0,0,761.51,0,0,33.81,0,0,0,0,0,0,0,0
