stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.45,38.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.56,0,0,6.65,0,0,0,4.09,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,148.69,21.99,0,0,50.13,0,137.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,48.82,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.01,0,0,0,31.86,0,67.71,0,0,4.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.83,80.81,0,0,0,0,0,0,0,3.36,2.03,0,0,3.81,0,3.13,0,2.9,3.52,0,2.09,12.59,14.42,0,12.04,0,0,761.82,0,4.48,16.69,0,3.78,2.54,0,0,0,0,0
 24-34,0,0,0,3.78,214.19,0.68,0,18.79,0,6.05,0.84,0,2.29,0.74,0,1.2,16.12,8.28,0,2.96,5.74,27.76,1.66,7.13,171.34,0,3.45,8.48,0,0,1993.45,0,0,8.49,1.16,1.51,31.94,0,0,7.03,0,0
 36-46,0,0,0,0.84,252.95,1.91,0,6.41,0,18.92,0,0.63,0.95,8.37,2.24,3.12,19.68,3.25,0,0,5.96,25.62,0,0.79,244.59,0,1.63,3.14,0,0,1977.69,0.81,0,11.98,0.74,0,10.58,0,0,11.25,0,9.04
 48-58,0,0,0,0,173.65,0.41,0,27.73,0,25.95,1.48,4.49,0,19.67,1.32,1.16,0,10.46,3.91,0,17.31,20.55,0,0.67,115.17,0,5.66,14.27,0,0.53,1001.43,0,0,2.22,0,0,9.04,0,0,2,0,0.97
 60-70,0,0,0,0,234.15,0,0,21.17,0,70.13,0,14.41,3.83,5.35,0,0,14.48,3.11,3.17,0,3.65,31.91,0,6.27,153.07,3.13,2.53,8.94,0,0,942.65,0,0,1.37,0,0,7.79,0,0,2.48,0,0
 72-82,0,0,0.67,0,198.38,8.12,0,36.66,0,53.79,0,15.58,22.44,3.88,0,0.56,12.22,11.17,6.89,0,15.72,69.4,0,0,151.45,0.98,5.56,21.54,0,1.67,831.97,0,0,2.19,0,0,4.82,1.89,0,11.75,0,0
 84-94,0,0,2.1,0,393.53,6.68,1.48,31.49,0,84.34,0,3.92,41.33,1.34,0,4.24,24.84,15.38,9.19,5.93,27.79,41.21,0,0,86.74,0,2.83,18.91,0,0,1472.21,0,0,3.5,0,0,0,2.45,0,6.77,0,8.24
 96-106,0,0,4.45,0,368.16,0.64,0,43.18,0,41.11,0,27.05,39.57,0,0,5.65,23.31,19.22,11.36,0,30.32,71.76,0,0,156.85,0.57,7.54,39.75,0,3.99,1737.71,3.82,0,0,0,0,14.46,2.33,0,21.88,4.67,0
108-118,0,0,0,0,500.7,2.99,1.04,29.17,0.76,86.56,0.43,11.45,71.71,0,0,2.41,35.97,9.15,10.16,0,11.32,84.2,0.83,1.43,107.87,0,5.31,25.29,0,0,1380.67,0,0,3.67,0,0,0,15.3,5.88,10.77,0.69,0
120,0,0,0,0,807.15,0,1.14,53.95,14.06,128.1,0,18.09,89.55,0,0,0,34.09,24.82,29.11,0,35.04,39.17,0,0,200.97,0,15.03,65.03,0,0,1504.35,0,0,13.04,0,0,4.81,4.72,0,31.55,0,0
