stage,axial,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0
 10-12,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,24.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,5.46,3.89,0,0,0,0,0,1.55,0
 24-34,0,0,0,0,0,0,8.67,0,0,0,0,12.61,0,0.98,0,68.75,0,0,0,0.61,0.84,0,0,8.78
 36-46,0,0,0,0,0,0,4.27,0,0,0,0,2.96,4.5,0,0,35.71,0,0,0,0,1.37,0,0,9.87
 48-58,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,14.17,0,0,0,0,0,0,0,15.01
 60-70,0,0,0,0,0,5.14,1.15,0,0,0,0,7.77,0,5.17,0,28.79,0,0,0,0,3.01,0,0,0
 72-82,0,30.47,0,2.93,0,10.18,1.01,10.72,0,0,0,1.36,0,0,0,74.3,0,0,0,0,0,10.36,0,10.76
 84-94,0,3.08,0,0,0,7.22,0,12.88,0,0,0,2.33,1.53,0,2.23,84.23,0,0,0,0,0,28.53,0.8,0
 96-106,0,0.56,0,0.73,0,15.47,0.95,25.46,0,0,1.64,3.35,0,0,0,58.12,0,0,2.62,0,0,112.77,0,0
108-118,0,30.99,0,0.47,0.48,20.36,0,23.75,0.53,0,0,14.39,0,4.72,0,83.17,0.59,1.49,0,0,0,83.78,0,0
120,0,0,0,49.57,0,124.65,0,9.76,0,0,0,5.1,0,12.48,0,200.4,0,0,0,0,0,13.61,0,0
