stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,106.72,20.54,0,0,59.56,0,0,0,0,0,0,0,0,0
 10-12,0,31.45,0,33.11,0,0,42.6,0,0,0,0,3.5,0,0,0,0,0,0,0,0,502.71,21.9,0,0,192.98,0,0,48.64,6.54,11.08,0,0,0,0
 14-21,0,0,1.41,0,20.96,11.27,1.18,0,0,129.51,0,0,1.93,0.86,0,0,0,10.5,0,4.37,164.51,5.43,18.64,46.57,16.97,1.01,3.55,126.6,1.78,433.31,0,0,0,0
 24-34,0,0,0,0,12.99,0,3.92,0.64,0.68,113.95,0,0,0.9,0,1.63,0,0,14.82,0,1.77,93.31,0.7,50.22,10.56,0,0,0,43.63,5.56,242.64,0,0,2.8,0
 36-46,0,0,0,0,9.19,0,0,0,0,72.82,1.1,0,4.65,0,0.57,15.36,2.25,1.68,0,0.94,95.41,0,58.49,6.59,0,0,0,23.07,0,132.8,0,0,0,0
 48-58,0,0,0,0.4,0.87,0,17.21,0,0,60.27,0,0,10.71,0,1.61,5.5,0,2.78,0,0,42.92,0.96,42.75,13.25,0,0,0,13.63,0,108.44,0,0,0,0
 60-70,0,0,0.86,0,2.07,0,22.15,0,0,100.74,1.41,0,1.52,0,2.92,0,0,2.54,3.06,0,64.45,0,41.54,16.3,0,0,0,12.59,0,61.82,0,0,0,5.02
 72-82,0,0,7.4,0,0,0,23.22,0,1.08,80.2,4.08,0,8.6,0,2.11,0,0,1.42,0,0,39.36,0,74.5,15.33,0,0,0,7.68,0,40.21,0,0,0,0
 84-94,0,0,4.7,1.48,3.24,0,16.38,0,0.89,88.06,2.1,0,12.09,0,6.38,0,0.72,1.9,1.26,0,39.07,0,78.7,6.13,0,0,0,20.46,0,24.07,0,0.98,0,0.77
 96-106,0,0,1.41,1.12,0,0,1.65,0,0,65.83,0,0,7.69,0,13.22,0,0,5.17,0,0,22.09,0,89.37,22.42,0,4.37,0,7.4,0,26.24,0,1.58,0,0
108-118,0,0,1.73,1.84,0.49,0,10.82,0,0,38.37,0,0,12.64,0.57,7.52,0,0,2.86,0,0,39.27,0,88.4,17.11,0,0,0,10.34,0,11.86,0,0,0,0
120,0,0,0,0,0,0,15.95,0,0,48.25,0,0,17.12,2.21,18.75,0,0,0,0,0,86.27,0,60.81,12.91,0,0,0,28.51,0,28.89,1.37,3.03,0,0
