stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,9.7,95.26,14.26,0,32.65,0,0.87,0,13.61,5.69,11.55,3.73,0,4.04,0,0,0,0,44.85,0,0,66.73,522.69,87.94,1.86,16.41,20.19,0,11.41,75.6,10.79,2.13,57.64,140.54,0,0,4.02,0,0
 24-34,0,10.14,30.42,0,22.6,0,0,1.94,13.2,0,0,8.08,1.72,1.75,0,0.64,0,0,43.78,0.77,1.52,24.13,351.24,9.74,5.58,2.37,0,0,19.85,0,0,3.84,5.86,81.79,0,0,23.37,0,7.91
 36-46,0,3.29,11.75,0,61.98,0,1.12,1.46,12.39,0.99,0,0,0,0,1.81,1,0,0,51.45,0.63,1.26,9.67,341.53,6.86,2.01,2.37,0,0,5.73,0,0,0,0,105.24,0,0,4.72,0,4.25
 48-58,0,12.74,6,0,121.75,0,0,1.84,13.41,0,0,1.71,12.24,0,0.92,0.38,0.48,0,36.13,0,0.52,6.41,190.2,0,0.64,1.35,0,0,6.06,0,0,0,0,36.09,0,0,7.68,0,8.86
 60-70,0,3.11,7.95,0,77.14,0,1.27,0,15.1,0.64,0,1.48,0,0,6.2,2.56,3.37,0,64.96,0,2.36,20.52,146.26,0,0.73,8.88,0,0,2.01,0,1.17,0,0,27.71,0,0,2.41,0,0
 72-82,0,1.92,0,1.16,58.42,0,0,3.4,17.61,1.45,0,1.85,0.49,0,1.66,0,0.57,0,63.24,0,8.66,1.05,108.93,3.93,1.01,12.97,0,0.87,0.5,0,0,0,0,16.28,0,0,7.47,0,1.59
 84-94,0,5.21,0,0,57.14,1,0,6.95,8.54,2.92,0,0,0.93,0,3.25,1.72,5.52,0.83,56.18,0,7.71,9.81,107.47,0,2.36,2.88,0,8.15,3.31,0,1.35,0,0,20.51,0,0,3.81,0,0
 96-106,0,8.15,4.7,0.77,63.28,0,1.03,0,30.66,1.69,0,1.47,2.11,0.66,0,3.7,2.99,7.73,24.15,0,1.32,1.07,65.68,0,2.09,2.74,0,0,5.78,0,0,0,0,15.43,7.63,0,4.9,3.5,0
108-118,0,8.07,5.67,3.23,56.7,0,2.32,0,18.08,0.51,0,0,0.42,0,1.56,0.74,9.08,0.97,50.03,0,6.36,1.33,69.09,0.59,3.12,4.97,0,1.1,5.37,0,2.02,0,0,3.32,0,1.06,4.07,0,0
120,0,10.41,18.53,0,45.2,0,0,5.14,59.63,0,0,0,2.66,0,2.63,0,4.06,0,33.39,0,1.26,1.85,135.01,0,0,0,0,7.06,8.95,0,1.58,0,0,2.98,0,0,3.09,3.15,0
