stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,15.51,0,0,20.32,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,68.14,0,0,0,52.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.52,0,5.73,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.89,0,0,0,59.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,0.95,2.63,5.4,0.81,0,0,0,0,0,0,2.36,0,0,0,0,0,4.51,5.09,0,0,6.51,101.47,12.69,0,0,1.12,0,0,2.11,0,0,3.68,51.09,0,0,1.88,0,0
 24-34,0,0,0,0.65,0.67,14.24,0,0,0,2.28,0,0,1.67,0,0,0,0,0,10.29,8.54,0,0,2.75,632.01,0,5.39,0,0,0,0.74,0,0,2.19,0.61,195.73,0,0,33.94,0,4.27
 36-46,0,0,0,1.32,0,125.98,2.44,0,0.62,9.02,0,0,0,0,0,0,0,0,11.9,13.32,1.01,0,4.97,1976.41,0,8.9,0,0,0,8.43,0,2.18,0,0,466.93,0,0,9.61,0,3.36
 48-58,0,0.55,0,6.68,0,346.75,0,1.32,1,23.04,0,0,0.44,6.66,0,0.77,0,0,32.65,19.29,0,0.41,10.42,2209.48,0.64,2.06,0.46,0,0,9.62,0,0,0,0,460.43,0,0.37,12.49,0,1.01
 60-70,0,0,0,10.32,0,1108.11,0,0,0,24.8,1.66,0,0,0,1.31,0,0,0,9.64,27.79,0,3.5,10.2,3113.25,0,8.31,0,0,0,5.31,0,2.54,0,0,568.02,0,0,22.48,0,16.79
 72-82,0,1.82,0,10.17,19.97,762.41,0,0,2.49,33.51,0.56,0,7.22,1.18,0,0.65,0,0,6.55,37.24,0,7.6,0,2302.29,1.3,3.1,0.75,0,3.44,2.86,0,0,0,0,317.73,0,0.52,17.37,0,11.41
 84-94,0,0,0,12.94,6.1,636.25,0,0,6.1,68.05,0.92,0,0,5.01,0,4.7,0,0,25.41,25.06,0,0,0.87,1828.37,0.65,0,0,0,0,4.27,0,0,0,0,209.7,1.01,2.41,9.26,0,9.5
 96-106,0,1.15,0,3.6,15.35,448.23,0,0,0.76,32.69,4.65,0,0,8.63,1.23,2.18,2.57,0,5.31,31.72,0,0,2.76,1268.78,0,0.66,3.06,0,8.68,6.07,0,0,0,0,100.62,0,0.58,23.18,2.48,2.76
108-118,0,0.47,0.59,12.36,1.08,510.52,0,1.69,1.34,55.9,2.71,0,0,0,0.85,4.16,0,4.07,22.52,22.87,0,6.07,4.97,1392.55,0,6.75,0.78,0,0,2.98,0,0.84,0,0,81.23,0.68,4.88,19.51,0.49,30.42
120,0,0,0,18.43,0,430.74,0,0,10.02,59.34,1.54,0,1.17,4.81,0,0,0,0,1.64,66.29,0,0,0,2412.81,0,2.49,11.98,0,0,0,0,2.98,0,0,132.97,0,0,1.1,0,1.64
