stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.73,443.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.27,344.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.27,0,9.74,0,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.92,0,0,0,26.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.08,5.45,0,0,60.11,0,0,0,4.43,34.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,29.68,0.83,0,4.78,0,1,0,0,0.83,0,0,0,0,0,0,0,4.75,0,0,7.84,74.33,2.03,0,0.9,6.37,0,5.89,0,11.96,0.91,2,14.71,40.41,0,0,1.01,0,0
 24-34,0,0,0,2.85,11.7,0,0,9.85,0,2.74,0,3.67,1.9,3.03,0,0,0.85,0.72,0,0.62,22.64,1.24,1.63,11.03,246.58,3.29,5.03,0.74,0,0,9.68,0,0,1.33,0,5.14,72.54,0,0,10.07,0,0
 36-46,0,0,0,0,24.25,0,0,24.79,0,0.56,0,4.88,0.95,0,0,0,0,0,0,0,18.95,0,0.67,5.73,305.01,1.17,3.19,0.61,0,0,14.43,0,0,0,0,0,78.16,0,0,2.34,0,0
 48-58,0,0,0,0,21.29,0,0,70.37,0,3.41,0.77,8.93,0,2.3,0,0,0.39,0,0,0,26.49,0,1.33,5.78,287.29,1.83,0,1.55,0,0,2.04,0,0,0,0.89,0,42.17,0,0,2.3,0,0.99
 60-70,0,0,0,0,13.34,0,0,148.05,0,1.1,0,26.55,0,0,0,0,5.26,5.4,0,0,30.63,0,11.98,2.8,314.66,0.83,0.67,1.69,0,0,11.23,0,0,0,0,0,22.54,0,0,0,0,0
 72-82,0,0,0.98,0,9.88,13.5,0,124.64,0,1.71,5.8,17.47,0.56,0,2.72,0,7.28,1.33,1.73,0,39.15,0,0,5.09,221.17,1.63,1.02,2.33,0,1.05,2.8,1.65,0,0,0,0,17.05,0,1.9,0,1.26,0
 84-94,0,0,0,0,8.78,0.92,1.09,69.68,0,9.66,0,16.42,1.58,0,1.2,0,0,0,0,0,37.58,0,0.66,5.1,168.15,1.25,0,1.93,0,2.65,7.7,0,0,2.39,0,0,15.34,0.66,0.68,0,0,0
 96-106,0,0,0.81,0,4.83,0,0,104.91,0,0.63,1.54,20.53,2.07,0,0.59,0,1.77,1.11,0.7,0,27.79,0,3.47,2.52,146.51,2.25,0,3.4,0,0,3.87,0,0,0,0,0,20.06,0,0,2.31,2.47,4.65
108-118,0,0,0.41,0,13.16,0.62,19.64,72.51,0,3.51,1.03,24.47,2.26,0,0,0.91,8.21,0,0,0,22.97,0.71,0,1.7,142.7,1.26,1.19,1.22,0,0,2.45,0,0,0.5,0,0,3.13,0.81,1.59,0.77,0,0.5
120,0,0,11.31,0,18.24,0,1.03,54.64,1.95,7.44,4.24,13.65,1.33,0,4.1,0,0,7.68,0,0,33.4,1.59,0,5.3,204.41,1.08,0,3.63,0,0,2.93,0,0,0,0,0,28.33,0,8.08,0,0,0
