stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0
 14-21,0,0,0,42.19,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,2.62,4.18,0,0,0,0,0,0,1.31,0,1.87,0,0,0,0,0
 24-34,0,0,0,31.06,0,0,0.61,0,0,0,0,1.99,0,1.38,0,10.14,0,0,1.77,0,3.28,0,0,0,0,0,0,0,1.4,0.63,0,0,0,0,0
 36-46,0,0,0,0.66,0,0,0,0,0,0,0,0.58,0,0.91,0,9.75,0,0,0,0,5.47,0,0,0,0,0,0,0,0.6,16.42,0,0,0,0,0
 48-58,0,0,0,1.01,0,0,1.72,0,0,0,2.29,0.46,0,3.58,0,7.14,0,1.49,0,0,6.59,0,0,0,0,0,0,0,7.09,2.35,0,0,0,0,0
 60-70,0,0.65,0,3.67,0,0,11.21,0,0,0,1.95,24.34,0,0.6,0,50.44,0,0.89,0,0,1.68,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0
 72-82,0,0.87,0,1.33,0,0,9.77,0,0,0.77,1.42,144.5,0,3.46,1.04,183.55,0,10.51,0,0,52.74,1.32,0,0,0,0,0,0,26.7,1.11,0,0,0.66,1.53,0
 84-94,0,1.15,1.59,3.02,6.77,0,14.35,0,0,0,0,437.26,0,8.78,0,629.65,0,9.04,0.93,0,31.77,0,0,0,0,0,2,0,127.3,2,0,0,0.58,0,0
 96-106,0,0,0,9.17,13.88,1.05,42.81,0,1.96,0,5.37,579.99,1.03,10.16,0.77,1084.98,0.68,28.73,0,0.57,216.31,0,0,2.13,0,0,14.01,0,86.04,0,6.48,0,0.56,0,5.3
108-118,0,3.05,0.84,6.58,3.06,2.01,52.75,0,0.48,0.74,6.15,1070.7,0,6.96,0,2145.03,0,29.69,3.31,3.91,240.05,0,1.87,0.98,0,5.09,13.6,0,157.15,4.42,2.29,3.13,0,1.62,0
120,0,0,0,2.93,12.82,0,20.57,2.24,0,0,8.59,606.45,0,1.75,0,1050.61,0,35.94,0,3.67,187.02,0,0,0,0,2.76,5.07,0,65.88,0,0,0,0,0,0
