stage,epidermis,eye,fin.mesenchyme,glial,heart,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,4.23,0,3.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0
 14-21,0,1.73,0,0.86,0,0,0,0,0,1.16,12.61,0,0,0,1.44,0.84,4.61,0,0,0
 24-34,0,1.65,0,1.72,0,0,0,0,0,0,4.04,0,0,0,0,0,12.71,0,0,0
 36-46,8.64,0,0,1.38,0,0,0,0,1.57,0,9.29,0,0,0,0,0,3.4,0,0,0
 48-58,0,0.42,0,0,1.9,0,0,0,0.7,0,0.63,0,0,0,0,0,13.2,0,0,0
 60-70,0,0,2.75,2.29,0.78,0,0,1.58,1.18,0,1.14,0,0,0,0,0,16.54,0,0,0
 72-82,0,0,0,5.85,2.3,0,0,0,8.79,0,0,0,0,0,0,0,10.73,1.02,1.14,0
 84-94,0,1.75,0,11.4,4.46,0,0.7,0,1.73,0,0.97,0,0,0,0,0,30.12,0,0,0
 96-106,0,2.07,0,13.7,5.38,0,0,0,0.71,0,1.29,0,0,3.25,0,0,32.79,0,0,0
108-118,1.15,0,0,12.8,9.03,0.72,0,0,15.09,0.92,1.63,0,0,0,0,0,17.75,0,0,2.03
120,0,2.73,0,100.19,0,0,0,0,7.11,0,2.27,0,0,0,0,0,32.42,0,0,0
