stage,blastomeres,eye,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,15.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.46,0
 24-34,0,0.65,0,0,0,2.57,0.72,0,0,0,0,1.48
 36-46,0,0,0.95,0,0,0,0,0.87,0,0,1,0
 48-58,0,0,0,0,0,0,1.2,0.58,0,0,0,0.82
 60-70,0,0,0.87,0,0,0,2.11,2.35,0,0,0,0
 72-82,0,0,1.64,0,0,0,0,1.95,0.65,0,0,2.41
 84-94,0,0,0,0.93,0,0,0,0.71,3.4,0,0,0.86
 96-106,0,0,4.54,0,0,0,1.87,2.52,2.38,0.57,0,1.72
108-118,0,0,2.68,0,1.66,0,0,0.55,2.58,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.96
