stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,15.08,0,0,14.21,0,11.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0.89,0.84,0,0.98,5.37,0,1.64,0,0
 24-34,0,0,0,0,1.62,0,0,0,0,0,0,0,0.91,0,2.85,0,2.49,23.78,0,0,15.98,0,0,0,0,0,0,4.77,0,0,0,0
 36-46,0,0,0,0,3.74,0,0,0,1.07,0,0,0,0,9.57,5.07,0,0,37.07,0,1.53,1.91,0,0,0,0,0,0,9.23,0,0,0,0
 48-58,0,0,0,0,4.6,0,0,0.4,6.85,0,0.71,0,9.04,0,1.28,0,0,54.73,0,0.55,26.29,0,0,0,0,0,0,13.32,0,0,0,0
 60-70,0,0,0,0,6.21,0,0,0,1.21,0,0,0,11.21,0,1.54,0,0,35.64,0,0,48.62,0,0,0,0,0,0,0.88,0,0,0,0
 72-82,0,0.93,1.29,0,15.37,0,0,0,5.57,0,0,0,30.02,0,4.46,0,0,15.55,0,2.61,81.18,0,1.1,0,0,0,0,9.1,0.9,1.01,0,0
 84-94,0,0,0,0,10.99,0,0,0,3.09,0,0,0,37.89,0,7.85,0,0,22.06,0,0,160.03,0,0,0,0,1.41,0,1.41,0,1.99,0,0
 96-106,0,0,2.85,0,18.09,0,0.59,0,7.24,0,0,2.95,66.54,1.15,0.58,0,0.78,20.07,0,0,176.07,0,0,0,0,0,0,4.23,0,0,0.61,0
108-118,0,0,0.89,0.55,20.48,0.46,0,0,2.22,0.59,0,0,49.48,0,15.62,0,1.66,35.78,0,0,114.19,0,1,1.04,0,0,0,0,0,0,1.3,1.16
120,0,0,2.61,0,13.83,0,0,0,8.28,2.11,0,0,70.06,0,34.98,12.5,0,54.41,0,0,246.99,0,0,0,0,0,0,0,0,0,0,0
