stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.89,16.54,1.72,0,4.42,0,0,0,3.91,0.81,0,2.74,0,0,0,0,0.92,0,5,0,0,8.36,104.2,0.97,0,3.89,0,1.87,22.46,0,0,18.82,39.57,0,0,0,0,0
 24-34,0.96,1.22,3.31,0.66,0,20.2,0,0,0,0.64,0,0,0,0,3.47,0,0,0.69,6.73,12.74,0,0,2.1,113.38,0.7,0,1.4,0,17.48,0,1.38,0,3.3,33.32,0,0,15.93,0,8.23
 36-46,0,0,14.03,0,0,15.97,0,0,0,9.33,0,0,0,0,0,0,0.57,0,3.05,7.35,0,0.56,1.98,161.77,0,0,3.85,0,48.25,0,0.67,3.54,0,28.76,0,0,6.3,0,0
 48-58,0,0,1.39,0,0,32.19,0,0.84,0.91,9.81,0,0,0,2.85,0.44,0,0.41,0.39,0,13.87,0,0.87,4.15,108.67,0,1.24,0,0,41.36,0,0,0,0,26.39,0,0,3.84,0,0.54
 60-70,0,0,9.53,0,0,44.49,0,3.68,0,18.18,0,0,0,0,0.59,0,0,0,1.24,17.82,0,6.11,4.1,136.63,0,6.06,0,1.9,54.17,0,0,0,0,11.32,1.22,0,5.04,0,0
 72-82,1.18,0,9.2,0,0,59.21,0,0,0,17.34,2.85,0.59,6.21,1.55,0,0,0.94,1.97,0,26.47,0.92,0,0.56,115.94,0,3.22,1.69,0,30.31,0,0,0,0,14.61,0,0,1.84,2.3,10.85
 84-94,0.94,0,14.57,0,0,33.92,0,1.39,0,9.38,3.1,0,0.97,1.05,0.78,0,0,2.73,5.22,8.22,2.42,0,7.2,77.41,0.99,0,2.4,0,103.65,0,0,5.42,0,19.22,0,1.08,4.27,1.06,0
 96-106,0,0,7.36,0.92,0,43.22,0.93,0.57,0.69,18.27,7.85,0,0,4,2.76,0,1.28,8.89,0,20.32,0,0,2.25,78.61,0,0.83,6.81,0.99,132.64,0,1,0,0,9.54,0,0,3.82,0,4.01
108-118,4.14,0,8.93,0,5.7,47.13,0.46,3.07,0,13.94,3.81,0,0,1.22,2.14,0,0,0.95,0,33.29,9.68,1.06,2.43,125.32,1.78,3.63,1.77,0,84.91,0,0.48,0,0,15.32,0,0,17.86,0.77,2.18
120,0,0,21.61,1.46,0,46.2,18.62,2.44,0,15.92,14.87,0,0,11.69,1.61,8.39,0,8.21,0,11.41,4.89,0,1.01,139.39,0,25.21,1.4,6.17,104.64,0,2.89,0,0,21.19,0,0,1.72,0,0
