stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,25.42,119.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0
  5-6,0,261.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0
  7-9,10.5,6.43,8.09,0,0,24.25,0,0,0,3.31,0,0,0,0,0,158.6,3.63,0,41.56,0,0,0,0,0,0,0
 10-12,0,4.21,14.57,0,9.45,10.85,0,0,0,0,0,0,0,0,0,111.9,9.28,0,13.39,0,0,0,0,0,0,0
 14-21,0,0,0.88,1.61,0,0,0,0,0,0,0,0,0,0,1.29,12.48,0,0.98,0,0,3.4,0,0.84,0,0,0
 24-34,0,0,0,2.08,0,1.41,0,1.33,0,0,1.24,0,0,4.49,2.04,51.25,0,0,0,0.76,0,2.32,7.45,0,2.15,0
 36-46,0,0,0,5.8,0,3.76,1.14,0.86,0,0,0,0,0,7.44,6.08,41.56,0,0.98,0,0,0,0,3.45,0,4.09,0
 48-58,0,0,0,8.42,0,16.6,0,7.02,0,0,0,1.82,1.27,14.7,0.56,34.37,0,0,0,0,0,0,10.33,0,0,0
 60-70,0,0,0,0.89,0,10.57,0,16.38,0,0,0,0,0,2.64,3.33,44.21,0,0,0,0,0,0,1.55,0,0,0
 72-82,0,0,0,0,0,14.37,0,0,0,0,0,0,0,0.65,0,13.97,0,0,0,0,0,0,0,0.9,0,0
 84-94,0,0,0,0,0,2.19,0,0.59,1.71,0,0,0,0,4.04,0,0.61,0,0,0,0,0,0,5.17,0,0,2.46
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.88,0,9.56,0,0,0,0,0,0,0,4.78,0,0.86,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.11,0,0,0,1.8,0,0,0,0,0,0,3.59,8.58,0,0,0,0,0,0,0,0,0,0
