stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,16.64,0,0,0,0,0,0,0,0,0,0
  7-9,5.43,0,5.01,0,0,0,8,7.98,0,0,0
 10-12,0,0,0,0,0,0,28.35,7.45,0,0,0
 14-21,0,0,0,2.57,0,0,8.89,0,1.63,0,0
 24-34,0,0.69,0,0,0,0,10.29,0,0,0,0
 36-46,0,0,0.87,0,0.99,0,5.01,0,0,3.78,0
 48-58,0,0,5.95,0,0,0,3.66,0,0,0,0
 60-70,0,0,0.61,0,0,0,10.12,0,0,0,0
 72-82,0,0,1.6,1.54,0,0.66,0,0,0,0,0
 84-94,0,0,0,2.52,5.64,0,5.9,0,0,0,0
 96-106,0,0,0,0,1.87,0,0.78,0,0,0,0
108-118,0,0,5.78,0,0.88,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.54
