stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.63,222.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.81,206.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.04,5.05,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,0,230.47,6.18,0,34.78,0,0,0,0,0,0,0,0
 10-12,0,4.98,5.05,0,0,28.34,0,0,0,0,7.6,0,0,0,0,0,0,0,272.15,5.01,0,123.86,0,0,4.48,0,0,0,0,0
 14-21,0,0,0,2.89,2.81,0,0,0,1.51,0,0,0,0,0,0,0,0,0,32.45,4.63,1.37,0,0,5,0,1.83,8.76,0,0,0
 24-34,0,0,2.21,6.59,0,8.06,0,0.99,0,0,0,0,0,0.83,1.12,0,3.41,0,60.92,0,0,0,0.62,0,0,1.63,11.73,0,0,0
 36-46,0,0,0,4.29,0,14.17,0,0,0,0,0,0,0,0,0,0,1.42,5.23,29.51,0,0,0,0,0,0,0,3.44,0,0,0
 48-58,0,0,0,5.63,0,19.72,0.97,0.4,2.37,1.3,0,0,0.57,2.34,0,0,2.28,1.07,63.91,2.89,0,0,0,0,0,0,3.78,0,2.24,0
 60-70,0,0,0,5.75,2.11,16.13,0,6.36,5.09,4.49,0,2.11,1.88,0,0,0,12.54,2.06,51.03,0.62,0,0,6.71,0,0,0,3.49,0,0,0
 72-82,0,0,0,3.24,0,8.41,0,0,2.22,0,0,0,0,0,0,0,2.09,2.46,28.95,0,0.58,0,1.87,0,0,0,0,0.75,0,0
 84-94,0,0,0,0,0,1.21,0,0,3.18,1.86,0,0,0.62,0,0,2.21,3.2,5.32,19.54,0,0,0,0,0,0,0,0,0,0,1.33
 96-106,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,8.36,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.46,0,8.81,0,0,1.59,0,0,0,0.79,0,0,0,19.43,1.16,30,0,0,0,3.2,0,0,0,0,0,1.41,0
120,0,0,0,13.76,1.08,19.89,0,3.67,12.84,0,0,0,0,0,0,0,1.97,2.42,80.99,3.89,0,0,0,0,0,0,0,0,3.65,0
