stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.14,402.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.15,364.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.32,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,0,0,0,0,0,18.23,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,121.24,0,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.03,0,0,0,12.29,0,0,0,4.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.15,0,0,0.91,0,0,0,0.86,0,0,0,0,0,0,0,0,0,1.77,0,0,2.16,44.51,0,0,0,0,0,13.11,2.7,1.92,0,6.5,14.39,0,0,0,0,0
 24-34,0,0,0,9.27,0.91,0,15.32,1.5,4.63,0.64,2.13,0.67,0,1.85,6.97,5.31,1.57,0,5.2,2.77,12.91,1.31,0,11.51,134.31,2.7,0,1.16,0,0,50.42,0,3.77,13.24,7.95,26.75,0,0,5.02,0,0
 36-46,0,0,0,5.58,0,0,16.68,13.08,3.2,0.97,9.1,0,1.6,1.26,3.8,3.29,11.79,0,0,7.71,12.78,0,1.26,9.05,128.48,0.82,0.91,0.7,0,0,33.25,0,2.02,9.82,2.47,22.82,0,0,4.91,0,11.53
 48-58,0,0,0,11.01,0,0,78.71,25.02,1.98,5.82,8.47,0,0,0.59,5.43,0.38,1.25,0.9,0.39,2.37,22.21,1.54,0.79,3.98,101.14,0,0.44,0,0,0,20.27,0,1.25,16.31,0,18.9,0,0,4.08,0,18.72
 60-70,0,0,0,10.33,0,0,119.65,13.02,2.07,1.38,32.1,6.66,0,0,0.96,8.41,1.91,0,5.1,0.72,37.6,0,0.89,5.79,100.35,0.75,1.03,3.25,0,0,20.08,0,0,25.49,0,15.53,0,3.86,1.49,0,1.92
 72-82,0,0,0,2.09,0.68,3.8,125.58,3.4,1.26,1.85,37.41,0.51,0,1.89,2.9,3.94,0.58,1.99,0,0,66.47,0,2.85,7.34,132,0.5,8.72,2.98,0,0,24.88,0,3.78,3.64,0,10.63,0,0.9,12.64,0,9.42
 84-94,0,0,0,10.59,0,6.41,111.15,3.34,4.32,0.73,25.24,3.56,0,1.01,6.16,6.84,0,0.73,4.71,11.91,41.63,1.27,1.32,4.07,68.34,0.7,2.46,3.24,0,0,47.44,0,0,17.13,0,28.09,0,0,3.6,2.47,8.65
 96-106,2.68,0,0.88,8.58,13.21,8.27,108.72,8.54,1.12,5.19,19.21,4.96,0,0,1.24,5.18,0.72,1.13,12.8,0.68,31,0,1.76,20.7,96.78,0,2.33,5.14,0,0,60.86,0,1.79,21.82,0,5.76,0,1.22,18.17,4.15,10.21
108-118,0,0,0,33.61,1.23,35.09,71.59,11.33,8.58,2.14,22.02,8.08,0,0,16.59,7.73,6.78,0.42,8.72,10.93,68.75,4.41,5.87,10.59,82.23,0.46,3.16,4.15,0,2.21,40.83,0,2,27.74,0,9.7,0.81,0,12.03,3.44,15.73
120,1.19,0,0,79.03,2.94,6.37,171.07,7.64,12.37,6.89,53.14,8.34,0,0,5.17,2.38,2.23,4.65,6.86,0,67.92,0,0,0,192.18,0,0,21.85,0,14.47,40.23,0,6.85,3.01,0,12.74,2.06,0,20.52,0,0
