stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,89.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,0,0,0,12.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,10.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,3.43,0,0,0,0,0,0,203.2,62.98,0.92,0,0,0,0
 24-34,0,0,0.6,0,0.65,112.49,0,0.71,1.7,0,0,8.73,0,2.55,0,2.52,0,58.62,46.01,0.67,0,0,0,9.29,0,91.42,108.07,10.68,0,1.17,0,0
 36-46,0,0,0,0,1.3,211.72,0,0,0.87,0,0,0,0,0,0,13.78,0,13.97,53.89,0.66,1.16,0,0,1.05,0,32.85,8.48,7.42,0,0,0,0
 48-58,0,0,0,2.45,42.75,133.73,0,0,2.57,0,0.53,0,0,5.74,0,5.03,0,37.9,51.59,0.99,1.67,0,0,2.22,0,25.87,0,20.03,0,0,0,0
 60-70,0,0,2.86,0,10.58,115.64,0,0,0.72,0,4.79,0.67,0,0,0,7.97,0,21.93,33.08,1.42,0,3.91,0,11.65,0,29.82,0,8.43,0,2.37,0,0
 72-82,0,0,1.12,1.53,16.9,86.82,0,0,0.82,0,0,0,0,0,0,5.72,0,2.72,35.28,0,0,0,0,1.16,0,11.1,0,3.38,0,0.6,1.84,0
 84-94,0,0,3.65,0,13.76,117.56,0,0,1.91,0.97,0,0,0,0,1.76,17.6,0,20.19,41.2,0.57,0,0,0,5.19,0,13.37,0,1.22,0,2.46,3.29,0
 96-106,0,0,14.98,19.3,41.53,125.4,0,0,14.16,2.23,0,0,0,0,0,24.26,5.97,15.17,39.22,0,0,1.16,0,5.51,0,15.7,0,0,0,13.4,0.74,9.61
108-118,0,0,4.07,1.13,21.29,118.74,0,0,2.27,1.04,0,0,1.39,0.5,0,20.75,0,32.88,40.08,0,0,0,0,1.58,0,19.13,0,3.93,1.72,0.65,0,0
120,0,0,0,1.5,9.89,97.87,2.23,0,5.66,0,1.88,0,0,0,0,0,0,30.96,18.26,0,0,0,0,1.87,1.12,12.26,0,0,0,0,0,0
