stage,eye,glial,mesenchyme,neural,olfactory
 24-34,0.78,0,1.05,0,0
 48-58,0,0,0,0.91,0
 84-94,0,0.87,0,0,2.95
 96-106,0,0,0,0,65.22
108-118,0,0,0,0,83.86
120,0,0,0,0,86.88
