stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,xanthophores
  3-4,61.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,6.05,0,0,0,0,0,0,0,0,0,11.65,0,0,0,0,0,5.74,0,0,0,0
 10-12,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,91.5,4.28,0,0,11.03,0,0,0,0,0,0
 14-21,0,0,0,2.53,0,0,0,16.26,0,0,0,0,0,0,0,29,0.86,0,1.37,0,0,0,15.39,85.52,0,0
 24-34,0,0,0.7,3.08,0,0,0,13.85,0,0,0,0,0,0.82,0,32.74,0,2.77,1.55,0,0,0,4.82,82.07,0,0
 36-46,0,0,1.65,0,0,0,0,15.72,0,0,0,0,8.96,0,0,51.09,0,3.77,0,0,0,0,11.6,101.94,0,0
 48-58,0,0,1.15,5.94,0,0.66,1.02,19.05,0,0,0,0,0,0.57,0,28.34,0,6.4,1.48,0,1.21,0,1.07,87.15,0,0
 60-70,0,0.65,0,8.62,0,6.24,1.05,22.08,9.62,0,2.48,0,1.73,0,0.68,10.7,0,2.53,3.08,0,0,0,5.73,50.41,0,0
 72-82,0,0.49,0,2.92,1.84,6.7,0,17.76,8.43,0.49,0,1.44,0.76,0,0,16.24,0,9.49,2.88,0,0,0,0.76,35.3,0,0
 84-94,0,0,0,11.23,0,11.78,0,19.9,17.76,0,0,0,0,0,1.16,20.73,0,3.24,4.42,0,0,0,5.01,35,5.51,0
 96-106,0,0,0,0.58,0,5.1,0,14.39,1.31,0,0,1.59,0,0,0,3.22,0,5.89,7.01,0,0,0,0.7,32.37,2.71,0
108-118,0,0,0,0.57,0,7.94,0,27.58,6.62,0,0,0.47,0,3.67,0,16.98,0,7.5,10.16,0,0,0,0.43,11.55,1.46,0
120,0,3.73,0,0,0,17.49,0,18.26,8.25,0,0,1.15,0,0,0,20.99,4.31,7.63,7.22,0,0,0,5.17,5.77,1.09,16.56
