stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,35.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,27.63,12.43,7.31,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.81,0,0,0,0,0,0.82,0,0,0,1.04,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,1.36,0,0,0.65,0,0,0,0,0,0
 36-46,0,0,0,0,2.13,0,0,0,0,0,0,0,3.22,0,0,4.68,0,0,3.86,0,0,0
 48-58,0,0,0,0,1.05,0,0.98,0,0,0,0,0,28.93,0.5,0,0,0,0,3.59,0,0,0
 60-70,0,0,0,0,9.25,0,1.31,0,0,0,3.01,0,49.17,0,0,5.31,0,0,0,0,0,0
 72-82,0,0,0.5,0,17.42,0,0,0,0,0,0.58,0,101.49,0.91,0,0,0,0,1.12,0,0,0
 84-94,0,0,3.2,0,8.18,0,0,0,1.52,0,0.97,6.69,126.68,4.21,0,0,0,0,3.32,2.45,1.73,0
 96-106,0,0,0.6,2.83,11.18,0,1.98,0,0,0,5.45,0,59.36,0,0,0,0,0,0,0,0,2
108-118,0,0.8,2.19,0,12.79,1.9,12.71,3.38,0,0.43,10.77,0,85.72,4.46,0,0.68,0,0.97,0,0,0,0
120,0,0,0,0,51.07,1.33,1.51,5.75,0,0,0,0,259.34,0,0,1.54,0,0,0,0,0,0
