stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,taste,vasculature
  5-6,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.82,1.72,1.85,0,0,4.61,0,0
 36-46,0,0,0,0,0,0,0,0,3.37,0,26.37,4.08,0.72,11,0,0
 48-58,0,0,0,0.59,0,0,0,0,1.32,0,37.25,0,0,2.96,0,0
 60-70,0,0,0,1.31,0,0,0,0,0.81,0,139.27,0,6.2,12.87,0,0
 72-82,0,0,0,8.91,0,2.99,0,0.64,0.8,0,262.98,0,0,28.9,0,0
 84-94,0,0,0,19.3,0.68,5.09,1.84,0,10.37,0,174.08,0,0,3.99,0,0
 96-106,0,0,0,9.72,0,2,0,0,3.44,1.47,125.59,0,0,8.17,0,1.24
108-118,0,0,0.46,15.43,0,0,0,0,1.07,0,149.33,0,0,7.14,3.18,2.28
120,0,6.02,0,24.74,0,4.45,0,0,0,0,246.27,0,0,0,0,0
