stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,30.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.23,0,0,0,0
 14-21,0,0,0,0,0,0.8,1.94,0.87,0,0.89,0
 24-34,0,0,0,0,0,0,0.63,0,0,0,0
 36-46,0,0,0,0,0,0.64,2.28,0,0,0,0
 48-58,0,0,1.95,0.85,0,0,2.68,0,0,0,0.93
 60-70,0,0.59,2.76,0,0,1.73,3.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.76,0,0,0,0
 84-94,0,0,1.35,0,0,1.11,7.52,0,0,0,0
 96-106,0,0,0,0,0.75,0,0,0,0,0,0
108-118,0,0,3.3,0,0,0,2.13,0,0,0,0
120,0,0,0,0,0,0,0,0,5.36,0,0
