stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,48.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,10.5,0,0,0,42.62,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,188.62,4.22,0,0,101.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,0,15.21,0,0,0,22.01,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,116.13,0,0,0,105.8,0,0,0,17.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0.81,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,32.18,0,0,0.88,1.89,0,4.65,3.35,0,0,2.54,8.47,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.64,0,0.59,0,0.76,0,0,0,0,0,0,0,0,4.53,0,0,4.15,51.95,0,0,0,0,0,3.8,0,0,0,0.95,17.62,0,0,0,0,0
 36-46,0,0,0,0,1.12,0,0,11.49,0,0,0,1.08,5.04,0,0,0,0,0,6.58,0,6.52,0,0,0.77,31.5,0,0,0,0,0,12.58,0,0,0,0,3.64,0,0,0,0,0
 48-58,0.39,0,0,0,1.34,0,0,21.97,0,0,0,4.36,15.53,0,0,0,0,0,0,0,1.61,0,0.81,0.38,33.19,0,0,0,0,0,9.33,0,0,0,0,5.03,0,0,0,0,0
 60-70,0,0,11.52,0,8.01,5.6,0,22.25,0,0,0,0,107.88,0,0,0,0,0,23.34,0,7.19,0,0,2.77,32.73,0,0,0,0,0,11.78,0,0,0,0,8.33,0,0,0,0,7.71
 72-82,0,0,77.94,0,7,0,0,23.16,5.3,0,0.62,14.7,605,0,0,0,8.61,0,9.67,0,32.13,0,0,5.57,193.52,0,0,3.1,0,0,8.95,0,2.8,0,0,3.79,7.61,1.49,0,0,4.31
 84-94,0,0,73.41,11.56,1.41,0,0,58.87,1.92,0.56,1.81,11.88,1327.14,0,0,0.66,0,7.31,0.69,0,16.32,0,0,0.86,102.99,0,2.67,0,0,0,15.12,0,0,0.59,0,3.77,0,0,0.92,0,0
 96-106,0,0,76.43,14.59,37.97,36.35,1.08,171.48,1.64,0.96,2,38.78,2267.55,0,6.64,0,1.54,2.06,35.91,1.3,56.31,2.3,7.67,10.51,723.05,1.15,1.78,2.44,0,2.84,73.34,0,0.61,1.82,0,3.68,8.37,1.27,16.94,2.34,6.37
108-118,0,0,76.14,29.67,17.02,16.62,7.32,71.1,1.93,0,7.83,29.67,3436.17,0,1.19,0.68,3.67,0,15.59,0,45.17,1.85,3.84,5.31,758.01,0,1.31,0.62,0,0,27.64,0,0,0.83,0,3.38,3.41,0,5.15,0,6.35
120,0,0,54.58,9.52,8.5,5.58,2.42,56.57,0,0,3.8,9.48,1831.83,0,0,0,0,0,48.73,0,47.92,0,8.33,2.34,731.29,3.53,0,16.39,0,0,1.22,0,1.73,0,0,0,1.27,0,1.14,2.7,0
