stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.75,172.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0
  5-6,0,127.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,11.19,0,0,0,4.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,9.13,0,0,1.07,0,0,0
 24-34,0,0,0,0,1.07,0,0,0.68,0,0,1.36,0,0,0,0,0,0.82,25.88,1.19,0,0.86,0,23.95,0.69,1.54,4.03,0,0,0
 36-46,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0.59,0,0,90.52,0,0,0.63,0,9.66,0,0,6.76,1.76,0,0
 48-58,0,0,0,1.97,4.07,0,0,0,0,0.51,0,0,0,0,2.78,0,0,244,0,1.3,4.94,0,7.65,0,0,9.68,0,0,1.65
 60-70,0,0,3.48,0,35.5,0,0,6.99,3.62,0,0,0,0,0,2.55,0,6.94,656.31,0,0,3.1,0,0,0,0,22.01,3.46,0,0
 72-82,0,0,2.31,0,128.18,0,0,1.74,1.26,0,0,0,0,0,13.97,0,5.25,785.76,0,0.53,4.86,0,3.36,0,0,14.97,0,0,0
 84-94,0,0,4.65,0,75.09,0.7,0,6.28,0.75,2.41,0,0,0,0,31.27,0,3.73,791.22,0.94,3.34,7.74,0,2.56,0,0,7.27,0,0.63,0
 96-106,0,0,5.84,4.87,114.67,2.77,0,7.04,4.47,0,0,0,11.46,0.98,7.5,0,0,762.31,0,1.96,3.38,0,6.55,0,0,10.06,0,0.89,5.61
108-118,0,0,6.01,3.33,119.69,2.6,0,19.67,4.22,0,0,1.03,0,0,4.84,2.48,0.85,919.9,0,0.48,11.07,0,0,0,0,5.5,0,0,0
120,0,0,5.65,0,182.22,12.29,1.05,28.54,0,0,0,0,0,0,15.28,0,14.73,1318.95,0,6.31,15.67,0,0,0,0,31.9,0,0,0
