stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,neural,periderm
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.99,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.9,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.65,0
 48-58,0,0,0,0,0,1.12,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,6.47,0,0.97,0
 72-82,0,0,0,0,4.14,0,0,12.22,0,0,3.73,0.57
 84-94,0,0,0,0,0,0,0.56,29.48,0,0,0,0
 96-106,0,7.89,0,1.86,0.74,0,0,65.03,1.03,0,6.45,0
108-118,0,0,0.42,0,5.07,2.01,0,47.97,0,0.92,4.14,2.52
120,0,0,0,0,5.78,0,0,117.19,0,4.41,16.04,0
