stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,94.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.67,0,0,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,0,257.54,0,0,14.37,0,0,0,0,5.62,0,0,0,0,0,0,0,211.38,0,0,9.14,0,0,22.67,0,0,0,0,0,0,0
 14-21,0,0,7,0,0.85,2,0,0,0,0.81,2.24,0,0,0,0,8.86,0,1.26,24.21,0,0,0,0,0,0,1.19,4.64,0,0,0,0,0
 24-34,0,0.97,0,3.69,0,2.57,0,0,1.68,0,1.11,0,0,0,0,3.79,0,0,62.55,1.59,2.72,0,0,0,0,0,15.35,0,0,9.01,0,0
 36-46,0,0,0.56,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0.85,0,162.91,3.06,0,0,0,0,0,0,9.31,0,0,9.87,0,0
 48-58,0,0,0,0,0,27.66,0,0,2.35,0,0,0,0,0,0,2.62,0,0,251.09,1.12,0,0,1.75,0,0,0,30.12,0,0,3.9,0,0
 60-70,0,0,0,8.84,0,33.08,0,8.38,0.65,0,0,0,8.52,0,0,10.59,0,0.75,397.68,1.42,0,0,0,0,4.15,0,76.13,0,0,12.87,0,0
 72-82,0,1.32,0,2.14,1.45,89.13,0.5,0,18.14,0,0,0,4.64,0.83,0,15.06,0,0,386.4,7.55,0.59,0,5.47,1.65,0,0,68.8,1.21,0,15,0.96,9.6
 84-94,0,1.16,0,1.11,0,102.23,0.56,0,9.05,0,0,1.44,9.86,0,0,9.92,0,0,263.95,2.59,5.42,0,6.27,0,0,0,52.68,0,0,16.48,0,4.35
 96-106,0,0,0,1.32,0,172.38,0,0,10.37,1.38,0,2.59,21.84,2.4,2.96,4.93,0,2.41,209.21,3.94,2.47,0,0,0,0,0,11.91,0,2.46,3.31,0,0
108-118,0,0,0,1.25,0,210.05,0,1.3,12.96,0,0,0,8.63,2.69,0.56,12.35,0,0.92,250.17,3.14,0.53,0,3.22,0,0,0,7.23,0,0,10.35,1.11,0
120,0,0,0,8.94,1.14,152.8,0,0,5.67,0,0,0,15.54,0,0,3.52,0,0,599.21,6.59,3.14,0,0,0,0,0,23.21,0,0,7.97,0,0
