stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,20.8,167.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0
  5-6,0,17.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,21.47,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,0,33.65,13.39,0,0,0,3.31,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.69,0,0,0,18.85,0,0,0,0,0,0,0,0,0,0,0,0,116.69,8.05,0,0,17.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,7.25,0.91,0,1.05,0,0,0,0,2.13,0.81,0.92,0,1.13,2.98,0,15.25,43.58,3.77,0,1.19,1,0,0.99,7.15,0,5.65,19.52,11.86,0,0,0
 24-34,0,0,0.67,0,0.71,0,0,5.16,0,0,0,0,0,0,0,0,0,1.79,0,6.35,93.38,0,1.91,0.63,0,2.69,0,0,0,0,1.4,19.36,0,0,3.23
 36-46,0,0,0.73,1.54,0.58,0,0,7.4,0,0.79,15.62,0.67,0,0,0,0,0,1.92,0,1.58,134.38,1.16,3.08,0.85,0,2.8,0,0,0,0,0,27.28,0,0,0
 48-58,0,0,0,0,4.8,0,0,45.25,0,1.2,28.75,0,0,0.66,0.73,0,0,4.28,0.39,0.8,118.16,0.38,0,0.66,0,1.06,0,0,0,0,0,16.16,0,0,0
 60-70,0,0,0,0,2.28,0,0,77.81,0,1.03,38.23,0,0,0,0,11,0,4.05,2.07,0,105.09,0,6.14,0.65,0,0,0,0,1.88,0,0,31.46,0,0,0
 72-82,0,0,0,0,6.33,3.1,0,101.61,0,0,35.29,1.1,0,0.53,2.33,0,0,6.59,0,6.57,80.79,0,1.29,0.9,0,0,0,0,0,0,0,13.82,0,0.51,3.77
 84-94,0,0,1.29,0,2.96,0,0,105.82,0,0,36.8,2.17,0,0,15.86,0,0,6.13,0,0,81.09,0,0,4.58,0,4.4,0,0,1.29,0,0,5.04,0.66,0,0
 96-106,0,0,0,0,2.2,0,0.98,64.85,0,0,32.21,1.57,0,0,1.54,0,0,8.52,1.44,5.17,47.3,0,0,0,0,5.87,0,0,0,0,0,0.86,1.67,1.93,2.63
108-118,0,0,0,0,5.04,0,3.37,47.24,1.33,2.07,30.32,1.64,0,1.34,0.64,0,0,1.54,1.41,0,61.15,0,2.84,2.54,0,5.09,0,0,1.48,0,0,3.51,0,0,4.28
120,0,0,0,0,17.84,16.25,0,72.96,0,0,81.03,1.45,0,0,1.77,0,0,2.89,1.46,0,113.18,0,0,0,0,10.1,0,0,0,0,0,1.98,1.19,0,19.96
