stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,11.83,0,0,0,0,0,0,0,0,0,0,26.25,0,0,14.25,0,0,0,0,0
  7-9,5.33,0,9.19,0,0,0,0,0,4.06,0,0,0,26.59,14.74,71.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.56,0,0,0,0,3.14,34.26,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,0,11.98,2.83,0,0,2.48,0.81,2.27,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.05,0,0.61,0.92,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.83,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0
 48-58,0,0,0.43,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.47,0,1.04,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.24,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0.77
 84-94,0,0,2.04,0,0,0,0,0,0,0,0.6,0,0.71,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,5.45,0.62,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0
120,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,1.85,0,0,0,0,0
