stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33,4.06,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.32,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.44,10.54,0,3.78,0.92,0,2.7,0,0,0,0,0,0,0,0,4.02,0,3.21,39.09,2.59,0,0.98,0,16.17,0.81,0,0,1.72,13.05,0,0,4.61,0,0
 24-34,0,0,4.08,0,6.89,0.59,0,13.18,0.67,0,0,0,0.74,0,0,0.62,6.75,0,0,68.46,0,2.23,0.61,0,16.13,0,0,0,0.63,25.43,0,0,0,0,0
 36-46,0,0,6.1,0,10.57,0.62,0.6,11.75,0,0,0,0,1.77,0.7,0,0,14.2,1.26,2.6,91.04,0.9,3.37,0,0,14.82,0,0.88,0,0,14.14,0,0,6.79,0,0
 48-58,0,0,6.14,0,9.74,0,0,3.63,0,0,0,0.47,0,0.94,0,0.78,12.47,0,0.5,25.21,0,0,1.36,0,6.94,0,0,0,0,14.59,0,0,1.34,0,0
 60-70,0,0,2.4,0,11.07,0,2.14,11.4,9.56,0,0,0,0,0,0,0,19.25,0.59,0,20.67,0,0,0,0,15.31,0,1.87,0,0,10.3,0,0,1.38,1.25,0
 72-82,0,0,2.91,0,4.62,0,0,8.73,0,1.18,0,0,0,1.91,0,0,26.1,0,3.25,20.58,0,1.49,0,0,8.06,0,0,0,0,0.83,0,0,13.59,0.77,0
 84-94,0,0,2.4,0,5.4,3.54,1.14,1.36,0.82,3.25,2.31,0,0,0,0,0,17.12,10.02,0,1.21,0,0,1.23,0,4.12,0,0,9.21,0,0,1.45,0.69,3.38,0,0
 96-106,0,0,16.82,0,3.1,2.18,0,5.47,3.29,0,2.51,0,2.14,0,0,3.42,27.82,1.82,2.43,13.43,0,0,4.15,0,27.88,0,0,0,0,0,0,0,4.06,3.18,0
108-118,0,0,11.63,7.04,20.05,6.74,0,2.14,2.72,0,0,0,2.93,3.49,2.28,0,36.29,5.3,1.67,13.47,0,0.86,0,0,33.82,0,0.94,0,0,2.78,0,0,8.29,0,3.79
120,0,0,12.21,0,0,5.73,0,2.83,1.39,0,0,0,0,0,0,0,37.69,46.49,0,32.78,1.17,0,1.59,0,7.23,0,0,0,0,0,0,3.79,21.61,0,0
