stage,epidermis,hatching.gland,ionocyte,neural,olfactory,periderm,spinal.cord
 36-46,0,0.59,0,1.74,0,1.5,0
 48-58,0,0,0,0,0,5.06,0.54
 60-70,0,0,0,0,0,2.35,0
 72-82,0,0,0,0,0,1,0
 84-94,0.86,0,0,0,0,1.07,0
 96-106,0,0,0,0,0,5.13,0
108-118,2.49,0,1.02,4.17,0.46,0,0
120,0,0,1.29,0,0,1.11,0
