stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,taste
  3-4,67.99,0,0,0,0,0,0,0,0,11.6,0,0
  5-6,31.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.74,4.38,0,0,0
 10-12,0,0,0,0,0,0,0,16.97,13.07,0,0,0
 14-21,0,0,0,0,0,0,0,1.37,0,0,0.96,0
 24-34,0,0,0,0,0,0.64,0,0,0,0,0,0
 36-46,0,0,1.11,0,0,0,0,0,0,0,0,0
 48-58,0,1.57,0,0,0,0,0.48,1.19,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.21,0,0,0,0
 72-82,0,0,1.34,1.39,1.05,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0.97,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.25
