stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,vasculature
  3-4,21.95,124.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.42,189.28,0,0,0,0,0,0,0,0,0,0,11.72,0,9.21,0,0,0
  7-9,0,0,13.48,0,0,0,0,0,0,0,0,0,10.84,0,130.97,0,0,0
 10-12,0,11.05,0,0,0,0,0,0,0,0,0,0,55.54,0,124.27,0,0,0
 14-21,0,0,0,2.87,0,0,0,0,0,0,0,0,0.83,0,0,1.18,1.16,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0.62,0,0
 36-46,0,0,0,0,0,9.19,0,0,0,0,0,0.67,1.12,0,0,2.21,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.2,0,0,0,1.74,0,0,0,0,0,0,1.25
 72-82,0,0,0,0,0,0,0,0.93,0,0,2.38,0.6,0,0,0,0,0,2.14
 84-94,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0.64,0,0
 96-106,0,0,0,0,0,0.82,0,0,0,0,5.22,1.04,0,1.18,0,0,0,0
108-118,0,0,0,0.51,0,0,0,0,1.03,4.95,2.11,0,3.6,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0
