stage,epidermis,eye,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,mural_cell,neural,periderm,pronephros,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,9.97,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,0,0,0
 24-34,0.76,0,0,0,0,0,0,0,5.76,0.74,0,2.54,0
 36-46,0,1.59,0,0,0,0,0,0,2.1,0,0,4.21,1.65
 48-58,0,1.88,0.46,0,0,0,1.35,0,4.81,0,0,0.61,0
 60-70,0,5.65,0,2.02,0,0,0,0,6.51,0,1.84,0,0
 72-82,0,0.54,0,0,2.21,0,1.5,0,8.94,0,0,2.78,0
 84-94,0,0,0,0,0,0,2.44,0,5.35,0,0,0,0
 96-106,0,2.22,0,0,0,0,2.04,0,0.95,0.62,0,0,0
108-118,0,0,0,0,0,6.05,0,0,6.17,0,0,0,0
120,0,0,0,0,0,0,0,2.22,4.51,0,0,0,0
