stage,axial,blastomeres,endoderm,epidermis,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm
  3-4,0,138.71,0,0,0,0,0,0,0,0,0,0,36.54
  5-6,8.11,152.72,0,0,0,0,0,0,0,0,0,0,11.4
  7-9,0,0,0,0,0,0,0,0,0,0,18.35,5.23,9.56
 10-12,0,0,5.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0,1.16,0,2.99,0,4.64,0,21.75
 24-34,0,0,0,0,0,0,0,0,0,6.17,0.89,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.87,0,0
 72-82,0,0,0,0,0,0,0,0,1.39,0,0,0,0
 84-94,0,0,0,0,6.8,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.61,0,0.85,0.61,1.26,0,0,0,0,0
108-118,0,0,0,1.05,0.59,0,0.59,0,1.44,0,2.59,0,0
120,0,0,0,4.36,0,0,0,0,0,0,0,0,0
