stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.94,468.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,131.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.9,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,44.39,0,0,0,11.33,0,12.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.99,0,0,0,7.48,0,0,0,0,0,3.5,0,0,0,0,0,3.73,0,0,0,0,0,1077.85,0,0,0,28.6,0,0,0,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,15.36,0,0,15.29,0,0,0,108.53,0,0,0.81,1.04,0,0,0,0,2.7,3.64,0,0,0,5521.74,13.16,0,0,1.19,0,0,1.46,0,2.55,0.81,1151.86,0,0,0,0,0
 24-34,0,0,0,32.85,0.66,0,76.56,0,0.61,1.55,252.65,0,1.4,0,7.6,0.77,11.37,1.23,1.71,3.28,27.48,1.31,0,15.92,14934.95,3.01,5.66,2.88,0,34.61,0,0,2,2,5.3,3345.19,0,0,20.77,0,3.61
 36-46,0,0,0,19.98,4.26,0,107.15,0,2.46,0,1558.69,0,0,0,7.34,0,11.69,0,0,1.37,21.15,2.43,0,6.89,14259.9,6.92,1.01,13.64,0,46.56,0,1.05,2.11,6.01,1.2,4041.59,0,0,11.86,0,10.18
 48-58,0,0,0,28.72,0.45,0,254.4,0.45,0.81,2.54,3246.81,0,0,0.77,0.8,4.75,0,2.84,0,7.05,26.09,0.52,1.67,11.25,6194.92,9.64,0.92,3.21,0,3.19,0,0,0.92,1.06,0,3363.52,0,0.4,5.93,0,17.23
 60-70,0,0,0,9.95,0,0,82.67,0,6.96,2.09,1322.53,0,0,0,0,0,0,0,5.1,0,11.11,0,0,0.71,1019.84,0,0,0,0,1.54,0,0,0,0,0,694.2,0,0,0,0,17.13
 72-82,0,0,0,8.38,6.16,0,49.23,0,0.5,0.93,635.25,0,0,0,3.51,0,0,2.39,0,0,6.36,0,1.9,2.84,246.47,0.51,0,6.83,0,4.42,0,0,0,0,0,86.28,2.98,0,0,6.82,3.93
 84-94,0,0,0,17.31,0,0,44.71,0,1.65,0.75,484.06,0,0,0,0,0,0,0,0,0,9.53,0,0,2.02,216.9,1.35,0,3.05,0,9.35,0,0,0,0,0,95.86,0,0,1.11,0,2.05
 96-106,2.68,0,0,14.16,4.72,1.14,33.8,0,13.03,0,523.81,1.34,0,0,9.39,0,0,2.36,2.16,0,6.46,0,0,2.73,213.9,1.5,0,6.16,0,9.73,0,0,0,0,0,4.46,0,0,1.02,0,3.82
108-118,0,0,0,16.61,0.88,5.94,24.18,0,3.45,0,548.62,0,0,0,1.73,0.43,0,0.51,0,0,7.79,0,0,0,258.68,1.53,0.95,0.52,0,9.79,0,0,0.87,0,0,0.79,0,0,0,0,23.44
120,0,0,0,28.68,0,0,63.35,0,0,0,419.65,0,0,0,4.77,0,0,3.72,13.95,0,16.02,0,2.35,3.59,289.41,1.12,0,1.16,0,15.38,0,0,3.53,0,0,0,0,0,2.42,0,0
